registro_id,fecha,sede,espera_min,atencion_min,estado,prioridad
TUR001-000001,2024-01-01,S1,5.2,9.3,atendido,ordinaria
TUR001-000002,2024-01-01,S2,11.4,3.8,atendido,ordinaria
TUR001-000003,2024-01-02,S3,27.7,8.8,atendido,preferente
TUR001-000004,2024-01-03,S1,9.2,6.9,atendido,ordinaria
TUR001-000005,2024-01-03,S2,6.6,17.1,atendido,ordinaria
TUR001-000006,2024-01-04,S3,4.6,5.6,atendido,preferente
TUR001-000007,2024-01-05,S1,25.9,9.2,atendido,ordinaria
TUR001-000008,2024-01-05,S2,12.1,12.7,atendido,ordinaria
TUR001-000009,2024-01-06,S3,52.0,7.9,atendido,ordinaria
TUR001-000010,2024-01-07,S1,9.5,6.2,atendido,ordinaria
TUR001-000011,2024-01-08,S2,26.9,13.8,atendido,ordinaria
TUR001-000012,2024-01-08,S3,25.8,9.5,atendido,ordinaria
TUR001-000013,2024-01-09,S1,6.1,13.5,atendido,preferente
TUR001-000014,2024-01-10,S2,4.7,3.9,atendido,preferente
TUR001-000015,2024-01-10,S3,10.8,10.1,atendido,ordinaria
TUR001-000016,2024-01-11,S1,8.2,4.0,atendido,ordinaria
TUR001-000017,2024-01-12,S2,10.0,16.4,atendido,preferente
TUR001-000018,2024-01-12,S3,4.5,11.5,atendido,preferente
TUR001-000019,2024-01-13,S1,17.6,12.3,atendido,preferente
TUR001-000020,2024-01-14,S2,10.3,10.6,atendido,ordinaria
TUR001-000021,2024-01-15,S3,14.6,7.5,atendido,ordinaria
TUR001-000022,2024-01-15,S1,4.3,16.2,atendido,ordinaria
TUR001-000023,2024-01-16,S2,6.0,8.7,atendido,ordinaria
TUR001-000024,2024-01-17,S3,11.5,,abandono,ordinaria
TUR001-000025,2024-01-17,S1,4.1,7.0,atendido,preferente
TUR001-000026,2024-01-18,S2,9.3,,abandono,ordinaria
TUR001-000027,2024-01-19,S3,43.2,5.1,atendido,ordinaria
TUR001-000028,2024-01-19,S1,3.2,10.2,atendido,preferente
TUR001-000029,2024-01-20,S2,5.0,7.7,atendido,preferente
TUR001-000030,2024-01-21,S3,2.3,4.0,atendido,preferente
