registro_id	fecha	sensor	zona	valor	unidad	horas_operativas
SEN006-000001	2024-01-01	S1	norte	17.52	C	6
SEN006-000002	2024-01-01	S2	centro	17.43	C	24
SEN006-000003	2024-01-01	S3	sur	73.72	F	18
SEN006-000004	2024-01-02	S1	norte	19.89	C	24
SEN006-000005	2024-01-02	S2	centro	22.12	C	6
SEN006-000006	2024-01-02	S3	sur	72.49	F	24
SEN006-000007	2024-01-03	S1	norte	18.75	C	24
SEN006-000008	2024-01-03	S2	centro	21.17	C	24
SEN006-000009	2024-01-03	S3	sur	72.18	F	12
SEN006-000010	2024-01-04	S1	norte	17.71	C	6
SEN006-000011	2024-01-04	S2	centro	22.39	C	24
SEN006-000012	2024-01-04	S3	sur	68.22	F	24
SEN006-000013	2024-01-05	S1	norte	22.91	C	12
SEN006-000014	2024-01-05	S2	centro	19.34	C	24
SEN006-000015	2024-01-05	S3	sur	74.5	F	24
SEN006-000016	2024-01-06	S1	norte	22.04	C	24
SEN006-000017	2024-01-06	S2	centro	22.09	C	24
SEN006-000018	2024-01-06	S3	sur	76.29	F	24
SEN006-000019	2024-01-07	S1	norte	20.44	C	24
SEN006-000020	2024-01-07	S2	centro	21.49	C	6
SEN006-000021	2024-01-07	S3	sur	72.41	F	24
SEN006-000022	2024-01-08	S1	norte	21.21	C	6
SEN006-000023	2024-01-08	S2	centro	20.9	C	12
SEN006-000024	2024-01-08	S3	sur	72.09	F	12
SEN006-000025	2024-01-09	S1	norte	18.41	C	24
SEN006-000026	2024-01-09	S2	centro	19.03	C	12
SEN006-000027	2024-01-09	S3	sur	75.4	F	24
SEN006-000028	2024-01-10	S1	norte	18.61	C	12
SEN006-000029	2024-01-10	S2	centro	19.05	C	6
SEN006-000030	2024-01-10	S3	sur	75.79	F	12
SEN006-000031	2024-01-11	S1	norte	19.74	C	6
SEN006-000032	2024-01-11	S2	centro	22.18	C	6
SEN006-000033	2024-01-11	S3	sur	77.67	F	12
SEN006-000034	2024-01-12	S1	norte	20.99	C	24
SEN006-000035	2024-01-12	S2	centro	25.15	C	6
SEN006-000036	2024-01-12	S3	sur	78.91	F	12
SEN006-000037	2024-01-13	S1	norte	20.96	C	6
SEN006-000038	2024-01-13	S2	centro	20.71	C	6
SEN006-000039	2024-01-13	S3	sur	76.73	F	12
SEN006-000040	2024-01-14	S1	norte	20.82	C	24
SEN006-000041	2024-01-14	S2	centro	23.98	C	12
SEN006-000042	2024-01-14	S3	sur	69.03	F	24
SEN006-000043	2024-01-15	S1	norte	20.26	C	24
SEN006-000044	2024-01-15	S2	centro	23.38	C	12
SEN006-000045	2024-01-15	S3	sur	79.91	F	18
SEN006-000046	2024-01-16	S1	norte	20.15	C	24
SEN006-000047	2024-01-16	S2	centro	24.46	C	24
SEN006-000048	2024-01-16	S3	sur	71.94	F	24
SEN006-000049	2024-01-17	S1	norte	19.93	C	12
SEN006-000050	2024-01-17	S2	centro	22.19	C	12
SEN006-000051	2024-01-17	S3	sur	77.55	F	24
SEN006-000052	2024-01-18	S1	norte	19.91	C	24
SEN006-000053	2024-01-18	S2	centro	22.07	C	6
SEN006-000054	2024-01-18	S3	sur	73.63	F	24
SEN006-000055	2024-01-19	S1	norte	20.7	C	24
SEN006-000056	2024-01-19	S2	centro	26.72	C	24
SEN006-000057	2024-01-19	S3	sur	77.74	F	24
SEN006-000058	2024-01-20	S1	norte	22.76	C	24
SEN006-000059	2024-01-20	S2	centro	19.48	C	24
SEN006-000060	2024-01-20	S3	sur	81.5	F	18
