registro_id,fecha,ruta,transportista,distancia_km,carga_kg,tiempo_min,prometido_min,entregado
TRA008-000001,2024-01-01,R6,T1,70.5,94.9,105.0,111.1,1
TRA008-000002,2024-01-01,R6,T2,97.3,123.5,,141.9,0
TRA008-000003,2024-01-01,R1,T3,113.0,42.2,185.8,159.9,1
TRA008-000004,2024-01-01,R3,T1,75.6,13.6,83.2,116.9,1
TRA008-000005,2024-01-02,R4,T2,13.3,57.0,22.4,45.3,1
TRA008-000006,2024-01-02,R3,T3,134.8,37.2,,185.0,0
TRA008-000007,2024-01-02,R5,T1,67.8,130.5,107.4,108.0,1
TRA008-000008,2024-01-03,R3,T2,80.8,25.5,104.4,122.9,1
TRA008-000009,2024-01-03,R4,T3,116.0,63.0,166.7,163.4,1
TRA008-000010,2024-01-03,R3,T1,7.9,99.1,59.0,39.1,1
TRA008-000011,2024-01-03,R3,T2,41.3,2.9,48.6,77.5,1
TRA008-000012,2024-01-04,R5,T3,52.4,28.8,104.3,90.3,1
TRA008-000013,2024-01-04,R1,T1,146.1,65.9,169.6,198.0,1
TRA008-000014,2024-01-04,R6,T2,141.7,83.1,196.2,193.0,1
TRA008-000015,2024-01-05,R4,T3,110.4,117.2,184.4,157.0,1
TRA008-000016,2024-01-05,R3,T1,63.1,140.2,,102.6,0
TRA008-000017,2024-01-05,R1,T2,12.9,50.1,38.0,44.8,1
TRA008-000018,2024-01-05,R4,T3,100.6,58.7,150.5,145.7,1
TRA008-000019,2024-01-06,R6,T1,21.7,45.2,29.3,55.0,1
TRA008-000020,2024-01-06,R3,T2,9.7,89.4,15.6,41.2,1
TRA008-000021,2024-01-06,R5,T3,53.4,4.4,84.2,91.4,1
TRA008-000022,2024-01-07,R2,T1,81.2,55.6,111.8,123.4,1
TRA008-000023,2024-01-07,R3,T2,60.7,119.8,128.5,99.8,1
TRA008-000024,2024-01-07,R1,T3,78.8,98.4,100.7,120.6,1
TRA008-000025,2024-01-08,R4,T1,63.2,98.2,104.3,102.7,1
TRA008-000026,2024-01-08,R2,T2,123.9,13.2,178.0,172.5,1
TRA008-000027,2024-01-08,R2,T3,144.3,50.9,227.4,195.9,1
TRA008-000028,2024-01-08,R3,T1,4.2,32.6,,34.8,0
TRA008-000029,2024-01-09,R2,T2,27.3,118.9,37.9,61.4,1
TRA008-000030,2024-01-09,R5,T3,62.7,65.1,115.5,102.1,1
TRA008-000031,2024-01-09,R5,T1,110.7,86.2,153.2,157.3,1
TRA008-000032,2024-01-10,R4,T2,92.6,80.0,,136.5,0
TRA008-000033,2024-01-10,R1,T3,80.9,86.1,158.4,123.0,1
TRA008-000034,2024-01-10,R2,T1,73.3,73.1,93.3,114.3,1
TRA008-000035,2024-01-10,R4,T2,60.7,130.3,112.7,99.8,1
TRA008-000036,2024-01-11,R5,T3,63.3,131.1,108.9,102.8,1
TRA008-000037,2024-01-11,R5,T1,120.5,54.4,178.8,168.6,1
TRA008-000038,2024-01-11,R5,T2,115.8,141.5,156.6,163.2,1
TRA008-000039,2024-01-12,R2,T3,63.5,70.5,89.7,103.0,1
TRA008-000040,2024-01-12,R4,T1,86.2,76.4,115.3,129.1,1
TRA008-000041,2024-01-12,R2,T2,100.3,138.8,144.9,145.3,1
TRA008-000042,2024-01-12,R4,T3,19.0,115.0,29.4,51.8,1
TRA008-000043,2024-01-13,R2,T1,49.1,52.0,50.7,86.5,1
TRA008-000044,2024-01-13,R2,T2,112.6,62.1,176.3,159.5,1
TRA008-000045,2024-01-13,R5,T3,75.1,87.2,119.0,116.4,1
TRA008-000046,2024-01-14,R1,T1,108.1,48.7,89.0,154.3,1
TRA008-000047,2024-01-14,R6,T2,92.4,81.5,147.7,136.3,1
TRA008-000048,2024-01-14,R5,T3,129.3,78.1,192.4,178.7,1
TRA008-000049,2024-01-15,R2,T1,123.9,139.7,187.5,172.5,1
TRA008-000050,2024-01-15,R2,T2,82.8,142.8,148.3,125.2,1
TRA008-000051,2024-01-15,R2,T3,13.4,61.8,46.1,45.4,1
TRA008-000052,2024-01-15,R1,T1,92.4,9.4,119.4,136.3,1
TRA008-000053,2024-01-16,R4,T2,54.9,128.8,88.3,93.1,1
TRA008-000054,2024-01-16,R5,T3,34.6,39.2,48.3,69.8,1
TRA008-000055,2024-01-16,R2,T1,147.7,31.5,175.2,199.9,1
TRA008-000056,2024-01-17,R4,T2,37.4,75.2,65.4,73.0,1
TRA008-000057,2024-01-17,R2,T3,54.6,132.7,82.6,92.8,1
TRA008-000058,2024-01-17,R1,T1,3.5,108.2,12.5,34.0,1
TRA008-000059,2024-01-17,R5,T2,20.6,30.2,39.3,53.7,1
TRA008-000060,2024-01-18,R3,T3,97.6,94.8,142.8,142.2,1
TRA008-000061,2024-01-18,R3,T1,89.2,44.3,105.3,132.6,1
TRA008-000062,2024-01-18,R6,T2,21.3,131.0,55.7,54.5,1
TRA008-000063,2024-01-19,R4,T3,90.5,62.9,132.1,134.1,1
TRA008-000064,2024-01-19,R6,T1,110.1,26.9,153.9,156.6,1
TRA008-000065,2024-01-19,R1,T2,18.5,84.0,79.3,51.3,1
TRA008-000066,2024-01-19,R1,T3,47.6,63.6,96.2,84.7,1
TRA008-000067,2024-01-20,R6,T1,87.2,149.9,131.5,130.3,1
TRA008-000068,2024-01-20,R5,T2,111.6,102.4,156.0,158.3,1
TRA008-000069,2024-01-20,R2,T3,88.6,136.6,173.9,131.9,1
TRA008-000070,2024-01-21,R3,T1,92.4,94.6,129.1,136.3,1
TRA008-000071,2024-01-21,R6,T2,105.4,82.9,173.9,151.2,1
TRA008-000072,2024-01-21,R2,T3,115.6,104.8,,162.9,1
TRA008-000072,2024-01-21,R2,T3,115.6,104.8,,162.9,1
