registro_id,fecha,distrito,kg,reciclable_kg,habitantes,km,cobertura_pct
RES017-000001,2024-01-01,norte,273.7,42.8,2400,23.6,60
RES017-000002,2024-01-01,centro,772.9,129.1,6000,14.8,60
RES017-000003,2024-01-01,sur,390.1,96.1,3600,23.6,60
RES017-000004,2024-01-02,norte,299.2,47.0,2400,29.9,60
RES017-000005,2024-01-02,centro,1063.6,243.1,6000,17.8,100
RES017-000006,2024-01-02,sur,607.7,137.1,3600,15.4,100
RES017-000007,2024-01-03,norte,374.6,74.4,2400,9.2,80
RES017-000008,2024-01-03,centro,701.9,103.8,6000,10.0,60
RES017-000009,2024-01-03,sur,514.4,93.4,3600,16.0,80
RES017-000010,2024-01-04,norte,357.2,64.3,2400,8.6,80
RES017-000011,2024-01-04,centro,597.9,143.2,6000,24.6,60
RES017-000012,2024-01-04,sur,600.8,157.1,3600,14.0,100
RES017-000013,2024-01-05,norte,448.2,81.8,2400,23.0,100
RES017-000014,2024-01-05,centro,1117.7,256.9,6000,17.6,100
RES017-000015,2024-01-05,sur,307.4,75.5,3600,24.6,60
RES017-000016,2024-01-06,norte,323.3,60.8,2400,14.8,80
RES017-000017,2024-01-06,centro,656.5,155.3,6000,10.2,60
RES017-000018,2024-01-06,sur,469.3,107.1,3600,24.5,80
RES017-000019,2024-01-07,norte,376.0,74.8,2400,29.6,100
RES017-000020,2024-01-07,centro,678.2,120.5,6000,24.3,60
RES017-000021,2024-01-07,sur,670.5,148.5,3600,12.9,100
RES017-000022,2024-01-08,norte,515.0,90.3,2400,11.2,100
RES017-000023,2024-01-08,centro,791.4,189.8,6000,10.8,60
RES017-000024,2024-01-08,sur,423.8,82.2,3600,17.0,60
RES017-000025,2024-01-09,norte,240.0,40.2,2400,23.0,80
RES017-000026,2024-01-09,centro,1123.2,249.2,6000,15.8,100
RES017-000027,2024-01-09,sur,335.6,65.5,3600,22.0,60
RES017-000028,2024-01-10,norte,397.3,72.1,2400,16.0,100
RES017-000029,2024-01-10,centro,1066.4,249.6,6000,21.4,100
RES017-000030,2024-01-10,sur,601.5,136.1,3600,20.5,100
RES017-000031,2024-01-11,norte,278.3,59.4,2400,16.4,60
RES017-000032,2024-01-11,centro,622.0,116.4,6000,14.1,60
RES017-000033,2024-01-11,sur,573.5,132.4,3600,9.7,100
RES017-000034,2024-01-12,norte,404.8,57.1,2400,16.3,100
RES017-000035,2024-01-12,centro,665.1,125.0,6000,9.8,60
RES017-000036,2024-01-12,sur,505.3,122.1,3600,27.5,80
RES017-000037,2024-01-13,norte,437.3,65.4,2400,19.2,100
RES017-000038,2024-01-13,centro,1152.5,269.1,6000,17.5,100
RES017-000039,2024-01-13,sur,606.7,137.6,3600,22.4,100
RES017-000040,2024-01-14,norte,465.4,106.6,2400,12.7,100
RES017-000041,2024-01-14,centro,1027.3,250.4,6000,23.3,100
RES017-000042,2024-01-14,sur,658.2,145.4,3600,23.2,100
RES017-000043,2024-01-15,norte,395.4,69.3,2400,21.8,80
RES017-000044,2024-01-15,centro,1221.2,262.8,6000,26.2,100
RES017-000045,2024-01-15,sur,707.3,137.8,3600,29.9,100
RES017-000046,2024-01-16,norte,153.2,28.1,2400,21.5,60
RES017-000047,2024-01-16,centro,622.1,145.1,6000,10.5,60
RES017-000048,2024-01-16,sur,629.0,126.7,3600,25.4,100
RES017-000049,2024-01-17,norte,492.4,97.7,2400,18.2,100
RES017-000050,2024-01-17,centro,1148.7,205.3,6000,22.9,100
RES017-000051,2024-01-17,sur,586.0,137.8,3600,18.5,100
RES017-000052,2024-01-18,norte,426.4,66.0,2400,11.8,100
RES017-000053,2024-01-18,centro,1049.1,230.1,6000,25.4,100
RES017-000054,2024-01-18,sur,637.4,172.5,3600,11.2,100
RES017-000055,2024-01-19,norte,400.1,75.2,2400,9.1,100
RES017-000056,2024-01-19,centro,833.6,208.7,6000,17.6,80
RES017-000057,2024-01-19,sur,691.5,166.7,3600,21.7,100
RES017-000058,2024-01-20,norte,414.7,97.7,2400,27.0,100
RES017-000059,2024-01-20,centro,786.1,153.2,6000,8.7,80
RES017-000060,2024-01-20,sur,593.3,140.1,3600,26.2,100
RES017-000061,2024-01-21,norte,275.6,48.0,2400,14.9,60
RES017-000062,2024-01-21,centro,1079.1,248.2,6000,26.1,100
RES017-000063,2024-01-21,sur,653.5,149.1,3600,20.9,100
RES017-000064,2024-01-22,norte,318.2,66.6,2400,18.1,60
RES017-000065,2024-01-22,centro,1005.9,239.6,6000,15.7,80
RES017-000066,2024-01-22,sur,592.2,145.2,3600,23.1,80
RES017-000067,2024-01-23,norte,409.8,69.8,2400,21.9,100
RES017-000068,2024-01-23,centro,1075.7,223.0,6000,12.1,100
RES017-000069,2024-01-23,sur,640.5,153.8,3600,14.8,100
RES017-000070,2024-01-24,norte,460.8,78.3,2400,13.2,100
RES017-000071,2024-01-24,centro,1045.6,206.8,6000,21.1,100
RES017-000072,2024-01-24,sur,,103.7,3600,8.7,80
RES017-000073,2024-01-25,norte,438.1,66.9,2400,28.9,100
RES017-000074,2024-01-25,centro,668.9,100.8,6000,17.9,60
RES017-000075,2024-01-25,sur,531.0,138.7,3600,11.8,80
RES017-000076,2024-01-26,norte,468.1,101.8,2400,11.2,100
RES017-000077,2024-01-26,centro,616.2,114.6,6000,24.3,60
RES017-000078,2024-01-26,sur,537.3,125.8,3600,14.6,80
RES017-000079,2024-01-27,norte,308.9,60.6,2400,22.9,100
RES017-000080,2024-01-27,centro,896.2,154.4,6000,18.4,80
RES017-000081,2024-01-27,sur,612.9,156.6,3600,27.5,100
RES017-000082,2024-01-28,norte,393.5,78.6,2400,13.4,80
RES017-000083,2024-01-28,centro,1051.4,172.4,6000,27.9,100
RES017-000084,2024-01-28,sur,692.3,153.8,3600,8.6,100
RES017-000085,2024-01-29,norte,468.9,97.6,2400,18.0,80
RES017-000086,2024-01-29,centro,770.6,188.2,6000,27.2,60
RES017-000087,2024-01-29,sur,473.2,89.2,3600,22.3,60
RES017-000088,2024-01-30,norte,491.6,99.7,2400,19.5,100
RES017-000089,2024-01-30,centro,1128.3,243.4,6000,21.2,100
RES017-000090,2024-01-30,sur,613.3,133.4,3600,28.2,100
RES017-000091,2024-01-31,norte,387.2,82.1,2400,19.1,100
RES017-000092,2024-01-31,centro,1113.9,248.9,6000,29.5,100
RES017-000093,2024-01-31,sur,615.9,160.3,3600,26.7,100
RES017-000094,2024-02-01,norte,270.6,50.2,2400,23.0,60
RES017-000095,2024-02-01,centro,644.7,136.7,6000,9.0,60
RES017-000096,2024-02-01,sur,432.4,109.0,3600,11.9,60
RES017-000097,2024-02-02,norte,320.9,60.7,2400,24.1,60
RES017-000098,2024-02-02,centro,1036.6,226.8,6000,17.4,100
RES017-000099,2024-02-02,sur,754.6,188.9,3600,18.5,100
RES017-000100,2024-02-03,norte,395.2,74.1,2400,10.3,100
RES017-000101,2024-02-03,centro,1022.3,258.6,6000,28.6,100
RES017-000102,2024-02-03,sur,546.3,118.9,3600,10.9,80
RES017-000103,2024-02-04,norte,265.3,46.9,2400,8.8,60
RES017-000104,2024-02-04,centro,1189.8,224.7,6000,29.1,100
