registro_id,fecha,proveedor,producto,solicitado,recibido,prometido_dias,plazo_dias,estado
COM019-000001,2024-01-01,P01,P01,148,148,7,9,completo
COM019-000002,2024-01-01,P02,P01,51,51,8,12,completo
COM019-000003,2024-01-01,P03,P01,158,158,9,7,completo
COM019-000004,2024-01-01,P04,P01,69,37,10,11,parcial
COM019-000005,2024-01-01,P05,P01,100,18,7,10,parcial
COM019-000006,2024-01-01,P06,P01,137,137,8,8,completo
COM019-000007,2024-01-01,P07,P01,16,16,9,10,completo
COM019-000008,2024-01-02,P08,P01,35,35,10,10,completo
COM019-000009,2024-01-02,P09,P01,50,50,7,10,completo
COM019-000010,2024-01-02,P10,P01,75,8,8,16,parcial
COM019-000011,2024-01-02,P11,P01,109,93,9,11,parcial
COM019-000012,2024-01-02,P12,P01,194,0,10,729,pendiente
COM019-000013,2024-01-02,P01,P02,20,20,7,11,completo
COM019-000014,2024-01-02,P02,P02,131,59,8,13,parcial
COM019-000015,2024-01-03,P03,P02,197,197,9,7,completo
COM019-000016,2024-01-03,P04,P02,96,96,10,11,completo
COM019-000017,2024-01-03,P05,P02,135,135,7,10,completo
COM019-000018,2024-01-03,P06,P02,70,70,8,6,completo
COM019-000019,2024-01-03,P07,P02,51,51,9,6,completo
COM019-000020,2024-01-03,P08,P02,72,72,10,7,completo
COM019-000021,2024-01-04,P09,P02,82,82,7,12,completo
COM019-000022,2024-01-04,P10,P02,56,0,8,727,pendiente
COM019-000023,2024-01-04,P11,P02,149,0,9,727,pendiente
COM019-000024,2024-01-04,P12,P02,195,195,10,17,completo
COM019-000025,2024-01-04,P01,P03,147,147,7,9,completo
COM019-000026,2024-01-04,P02,P03,77,77,8,10,completo
COM019-000027,2024-01-04,P03,P03,11,5,9,10,parcial
COM019-000028,2024-01-05,P04,P03,130,0,10,726,pendiente
COM019-000029,2024-01-05,P05,P03,30,0,7,726,pendiente
COM019-000030,2024-01-05,P06,P03,76,76,8,14,completo
COM019-000031,2024-01-05,P07,P03,135,135,9,13,completo
COM019-000032,2024-01-05,P08,P03,102,37,10,6,parcial
COM019-000033,2024-01-05,P09,P03,38,38,7,7,completo
COM019-000034,2024-01-06,P10,P03,99,99,8,11,completo
COM019-000035,2024-01-06,P11,P03,61,10,9,13,parcial
COM019-000036,2024-01-06,P12,P03,32,32,10,12,completo
COM019-000037,2024-01-06,P01,P04,188,0,7,725,pendiente
COM019-000038,2024-01-06,P02,P04,46,7,8,10,parcial
COM019-000039,2024-01-06,P03,P04,58,58,9,10,completo
COM019-000040,2024-01-06,P04,P04,175,175,10,10,completo
COM019-000041,2024-01-07,P05,P04,173,173,7,13,completo
COM019-000042,2024-01-07,P06,P04,53,53,8,14,completo
COM019-000043,2024-01-07,P07,P04,15,15,9,6,completo
COM019-000044,2024-01-07,P08,P04,162,162,10,13,completo
COM019-000045,2024-01-07,P09,P04,173,0,7,724,pendiente
COM019-000046,2024-01-07,P10,P04,70,70,8,14,completo
COM019-000047,2024-01-08,P11,P04,147,35,9,7,parcial
COM019-000048,2024-01-08,P12,P04,188,188,10,19,completo
COM019-000049,2024-01-08,P01,P05,22,22,7,5,completo
COM019-000050,2024-01-08,P02,P05,191,191,8,11,completo
COM019-000051,2024-01-08,P03,P05,119,59,9,8,parcial
COM019-000052,2024-01-08,P04,P05,196,196,10,8,completo
COM019-000053,2024-01-08,P05,P05,152,152,7,8,completo
