registro_id,fecha,tienda,producto,unidades,precio,descuento,estado
CAJ022-000001,2024-01-01,T1,P09,3,41.94,0,completada
CAJ022-000002,2024-01-01,T2,P05,1,24.84,0,completada
CAJ022-000003,2024-01-02,T3,P12,1,52.75,0.05,completada
CAJ022-000004,2024-01-03,T1,P03,8,16.42,0.1,completada
CAJ022-000005,2024-01-04,T2,P12,3,52.16,0.1,completada
CAJ022-000006,2024-01-05,T3,P10,5,44.2,0.2,completada
CAJ022-000007,2024-01-06,T1,P09,3,41.38,0.05,completada
CAJ022-000008,2024-01-07,T2,P04,7,21.52,0.15,completada
CAJ022-000009,2024-01-08,T3,P02,2,12.09,0.1,anulada
CAJ022-000010,2024-01-08,T1,P11,5,48.49,0.15,completada
CAJ022-000011,2024-01-09,T2,P06,1,29.67,0.05,completada
CAJ022-000012,2024-01-10,T3,P12,5,53.9,0.2,completada
CAJ022-000013,2024-01-11,T1,P09,6,41.34,0.1,completada
CAJ022-000014,2024-01-12,T2,P03,7,17.66,0.15,completada
CAJ022-000015,2024-01-13,T3,P12,1,53.42,0.1,completada
CAJ022-000016,2024-01-14,T1,P03,4,16.87,0.05,completada
CAJ022-000017,2024-01-15,T2,P09,1,40.02,0.05,anulada
CAJ022-000018,2024-01-15,T3,P09,6,40.17,0.15,completada
CAJ022-000019,2024-01-16,T1,P07,2,33.18,0.1,completada
CAJ022-000020,2024-01-17,T2,P11,2,49.25,0,completada
CAJ022-000021,2024-01-18,T3,P12,7,52.09,0.15,completada
CAJ022-000022,2024-01-19,T1,P09,1,40.38,0.1,completada
CAJ022-000023,2024-01-20,T2,P03,2,18.0,0.1,completada
CAJ022-000024,2024-01-21,T3,P08,9,36.78,0.1,completada
CAJ022-000025,2024-01-22,T1,P08,1,36.07,0.1,completada
CAJ022-000026,2024-01-22,T2,P01,1,8.84,0,completada
CAJ022-000027,2024-01-23,T3,P03,5,16.81,0.15,completada
CAJ022-000028,2024-01-24,T1,P11,7,48.61,0.2,completada
CAJ022-000029,2024-01-25,T2,P10,6,45.02,0.2,completada
CAJ022-000030,2024-01-26,T3,P07,5,32.03,0.15,completada
CAJ022-000031,2024-01-27,T1,P10,8,44.68,0.15,completada
CAJ022-000032,2024-01-28,T2,P04,9,20.14,0.2,completada
CAJ022-000033,2024-01-29,T3,P12,8,53.6,0.1,completada
CAJ022-000034,2024-01-29,T1,P09,2,41.1,0.05,completada
CAJ022-000035,2024-01-30,T2,P05,4,25.35,0.1,completada
CAJ022-000036,2024-01-31,T3,P01,6,9.04,0.15,completada
CAJ022-000037,2024-02-01,T1,P12,1,53.27,0,completada
CAJ022-000038,2024-02-02,T2,P08,4,37.59,0,completada
CAJ022-000039,2024-02-03,T3,P11,3,49.72,0,completada
CAJ022-000040,2024-02-04,T1,P05,9,25.93,0.2,completada
CAJ022-000041,2024-02-05,T2,P08,9,37.08,0.2,completada
CAJ022-000042,2024-02-05,T3,P02,2,12.52,0.1,completada
CAJ022-000043,2024-02-06,T1,P02,4,13.3,0.05,completada
CAJ022-000044,2024-02-07,T2,P02,9,13.16,0.1,completada
CAJ022-000045,2024-02-08,T3,P04,4,20.39,0,completada
CAJ022-000046,2024-02-09,T1,P09,6,40.05,0.2,completada
CAJ022-000047,2024-02-10,T2,P01,7,8.08,0.1,completada
CAJ022-000048,2024-02-11,T3,P08,2,36.32,0.05,completada
CAJ022-000049,2024-02-12,T1,P07,4,32.65,0,completada
CAJ022-000050,2024-02-12,T2,P05,9,25.89,0.1,completada
CAJ022-000051,2024-02-13,T3,P06,9,29.9,0.2,completada
CAJ022-000052,2024-02-14,T1,P02,9,13.3,0.2,completada
CAJ022-000053,2024-02-15,T2,P08,2,37.62,0.05,completada
CAJ022-000054,2024-02-16,T3,P12,5,52.7,0.1,completada
CAJ022-000055,2024-02-17,T1,P04,9,21.24,0.15,completada
CAJ022-000056,2024-02-18,T2,P01,4,8.09,0,completada
CAJ022-000057,2024-02-19,T3,P01,7,8.16,0.2,completada
CAJ022-000058,2024-02-20,T1,P03,8,16.15,0.1,completada
CAJ022-000059,2024-02-20,T2,P05,3,25.54,0.1,completada
CAJ022-000060,2024-02-21,T3,P11,2,49.83,0.1,completada
CAJ022-000061,2024-02-22,T1,P06,1,28.7,0.05,completada
CAJ022-000062,2024-02-23,T2,P04,9,21.13,0.15,completada
CAJ022-000063,2024-02-24,T3,P11,7,48.91,0.2,completada
CAJ022-000064,2024-02-25,T1,P09,7,41.02,0.2,completada
CAJ022-000065,2024-02-26,T2,P03,3,16.58,0.05,completada
CAJ022-000066,2024-02-27,T3,P04,4,21.29,0.1,completada
CAJ022-000067,2024-02-27,T1,P08,9,37.36,0.2,completada
CAJ022-000068,2024-02-28,T2,P10,2,45.71,0.1,completada
CAJ022-000069,2024-02-29,T3,P11,9,48.92,0.2,anulada
CAJ022-000070,2024-03-01,T1,P10,7,44.29,0.15,completada
CAJ022-000071,2024-03-02,T2,P08,3,37.92,0,completada
CAJ022-000072,2024-03-03,T3,P06,8,29.42,0.2,completada
CAJ022-000073,2024-03-04,T1,P11,5,48.54,0.1,anulada
CAJ022-000074,2024-03-05,T2,P02,4,13.45,0,completada
CAJ022-000075,2024-03-05,T3,P06,4,29.24,0,completada
