registro_id,fecha,zona,canal,invitado,responde,satisfaccion,peso
ENC029-000001,2024-01-01,norte,web,1,0,,15.189873
ENC029-000002,2024-01-01,centro,web,1,0,,38.216561
ENC029-000003,2024-01-02,sur,web,1,1,5,22.929936
ENC029-000004,2024-01-03,norte,telefono,1,1,4,15.189873
ENC029-000005,2024-01-04,centro,telefono,1,1,2,38.216561
ENC029-000006,2024-01-04,sur,telefono,1,0,,22.929936
ENC029-000007,2024-01-05,norte,web,1,0,,15.189873
ENC029-000008,2024-01-06,centro,web,1,0,,38.216561
ENC029-000009,2024-01-07,sur,telefono,1,1,4,22.929936
ENC029-000010,2024-01-07,norte,telefono,1,0,,15.189873
ENC029-000011,2024-01-08,centro,web,1,1,2,38.216561
ENC029-000012,2024-01-09,sur,web,1,0,,22.929936
ENC029-000013,2024-01-10,norte,telefono,1,1,4,15.189873
ENC029-000014,2024-01-11,centro,web,1,0,,38.216561
ENC029-000015,2024-01-11,sur,telefono,1,1,4,22.929936
ENC029-000016,2024-01-12,norte,telefono,1,0,,15.189873
ENC029-000017,2024-01-13,centro,web,1,0,,38.216561
ENC029-000018,2024-01-14,sur,telefono,1,0,,22.929936
ENC029-000019,2024-01-14,norte,web,1,0,,15.189873
ENC029-000020,2024-01-15,centro,web,1,1,3,38.216561
ENC029-000021,2024-01-16,sur,telefono,1,1,4,22.929936
ENC029-000022,2024-01-17,norte,telefono,1,1,5,15.189873
ENC029-000023,2024-01-18,centro,web,1,0,,38.216561
ENC029-000024,2024-01-18,sur,telefono,1,1,4,22.929936
ENC029-000025,2024-01-19,norte,telefono,1,0,,15.189873
ENC029-000026,2024-01-20,centro,web,1,0,,38.216561
ENC029-000027,2024-01-21,sur,telefono,1,0,,22.929936
ENC029-000028,2024-01-21,norte,telefono,1,1,3,15.189873
ENC029-000029,2024-01-22,centro,web,1,1,5,38.216561
ENC029-000030,2024-01-23,sur,web,1,1,5,22.929936
ENC029-000031,2024-01-24,norte,telefono,1,1,5,15.189873
ENC029-000032,2024-01-24,centro,telefono,1,0,,38.216561
ENC029-000033,2024-01-25,sur,telefono,1,0,,22.929936
ENC029-000034,2024-01-26,norte,telefono,1,1,3,15.189873
ENC029-000035,2024-01-27,centro,web,1,0,,38.216561
ENC029-000036,2024-01-28,sur,web,1,1,2,22.929936
ENC029-000037,2024-01-28,norte,web,1,1,2,15.189873
ENC029-000038,2024-01-29,centro,web,1,1,4,38.216561
ENC029-000039,2024-01-30,sur,web,1,1,3,22.929936
ENC029-000040,2024-01-31,norte,web,1,1,4,15.189873
ENC029-000041,2024-01-31,centro,telefono,1,0,,38.216561
ENC029-000042,2024-02-01,sur,telefono,1,1,5,22.929936
ENC029-000043,2024-02-02,norte,web,1,1,4,15.189873
ENC029-000044,2024-02-03,centro,web,1,1,4,38.216561
ENC029-000045,2024-02-04,sur,web,1,0,,22.929936
ENC029-000046,2024-02-04,norte,web,1,1,5,15.189873
ENC029-000047,2024-02-05,centro,telefono,1,1,3,38.216561
ENC029-000048,2024-02-06,sur,telefono,1,1,4,22.929936
ENC029-000049,2024-02-07,norte,web,1,1,4,15.189873
ENC029-000050,2024-02-07,centro,web,1,0,,38.216561
ENC029-000051,2024-02-08,sur,telefono,1,1,4,22.929936
ENC029-000052,2024-02-09,norte,web,1,0,,15.189873
ENC029-000053,2024-02-10,centro,web,1,0,,38.216561
ENC029-000054,2024-02-10,sur,telefono,1,0,,22.929936
ENC029-000055,2024-02-11,norte,web,1,1,5,15.189873
ENC029-000056,2024-02-12,centro,web,1,1,3,38.216561
ENC029-000057,2024-02-13,sur,web,1,0,,22.929936
ENC029-000058,2024-02-14,norte,telefono,1,1,5,15.189873
ENC029-000059,2024-02-14,centro,telefono,1,1,4,38.216561
ENC029-000060,2024-02-15,sur,telefono,1,1,4,22.929936
ENC029-000061,2024-02-16,norte,telefono,1,1,5,15.189873
ENC029-000062,2024-02-17,centro,telefono,1,1,5,38.216561
ENC029-000063,2024-02-17,sur,telefono,1,1,4,22.929936
ENC029-000064,2024-02-18,norte,telefono,1,1,4,15.189873
ENC029-000065,2024-02-19,centro,telefono,1,1,3,38.216561
ENC029-000066,2024-02-20,sur,web,1,0,,22.929936
ENC029-000067,2024-02-21,norte,web,1,1,5,15.189873
ENC029-000068,2024-02-21,centro,telefono,1,0,,38.216561
ENC029-000069,2024-02-22,sur,web,1,0,,22.929936
ENC029-000070,2024-02-23,norte,web,1,1,3,15.189873
ENC029-000071,2024-02-24,centro,telefono,1,1,3,38.216561
ENC029-000072,2024-02-24,sur,telefono,1,1,3,22.929936
ENC029-000073,2024-02-25,norte,web,1,1,5,15.189873
ENC029-000074,2024-02-26,centro,telefono,1,0,,38.216561
ENC029-000075,2024-02-27,sur,web,1,1,3,22.929936
ENC029-000076,2024-02-27,norte,web,1,1,5,15.189873
ENC029-000077,2024-02-28,centro,web,1,0,,38.216561
ENC029-000078,2024-02-29,sur,web,1,0,,22.929936
ENC029-000079,2024-03-01,norte,telefono,1,1,5,15.189873
ENC029-000080,2024-03-02,centro,telefono,1,0,,38.216561
ENC029-000081,2024-03-02,sur,web,1,0,,22.929936
ENC029-000082,2024-03-03,norte,web,1,1,4,15.189873
ENC029-000083,2024-03-04,centro,telefono,1,0,,38.216561
ENC029-000084,2024-03-05,sur,telefono,1,0,,22.929936
ENC029-000085,2024-03-05,norte,web,1,1,5,15.189873
ENC029-000086,2024-03-06,centro,telefono,1,0,,38.216561
ENC029-000087,2024-03-07,sur,web,1,1,5,22.929936
ENC029-000088,2024-03-08,norte,telefono,1,1,5,15.189873
ENC029-000089,2024-03-09,centro,telefono,1,0,,38.216561
ENC029-000090,2024-03-09,sur,web,1,0,,22.929936
ENC029-000091,2024-03-10,norte,telefono,1,0,,15.189873
ENC029-000092,2024-03-11,centro,web,1,1,3,38.216561
ENC029-000093,2024-03-12,sur,web,1,0,,22.929936
ENC029-000094,2024-03-12,norte,web,1,0,,15.189873
ENC029-000095,2024-03-13,centro,telefono,1,0,,38.216561
ENC029-000096,2024-03-14,sur,telefono,1,1,3,22.929936
ENC029-000097,2024-03-15,norte,web,1,0,,15.189873
ENC029-000098,2024-03-16, CENTRO ,telefono,1,1,3,38.216561
ENC029-000099,2024-03-16,sur,telefono,1,1,4,22.929936
ENC029-000100,2024-03-17,norte,web,1,1,3,15.189873
ENC029-000101,2024-03-18,centro,telefono,1,0,,38.216561
ENC029-000102,2024-03-19,sur,telefono,1,0,,22.929936
ENC029-000103,2024-03-19,norte,web,1,1,3,15.189873
ENC029-000104,2024-03-20,centro,web,1,1,4,38.216561
ENC029-000105,2024-03-21,sur,telefono,1,0,,22.929936
ENC029-000106,2024-03-22,norte,telefono,1,1,3,15.189873
ENC029-000107,2024-03-22,centro,telefono,1,0,,38.216561
ENC029-000108,2024-03-23,sur,telefono,1,0,,22.929936
ENC029-000109,2024-03-24,norte,telefono,1,0,,15.189873
ENC029-000110,2024-03-25,centro,telefono,1,1,4,38.216561
ENC029-000111,2024-03-26,sur,web,1,0,,22.929936
ENC029-000112,2024-03-26,norte,telefono,1,1,5,15.189873
ENC029-000113,2024-03-27,centro,telefono,1,0,,38.216561
ENC029-000114,2024-03-28,sur,web,1,1,5,22.929936
ENC029-000115,2024-03-29,norte,telefono,1,1,4,15.189873
ENC029-000116,2024-03-29,centro,web,1,0,,38.216561
ENC029-000117,2024-03-30,sur,web,1,1,3,22.929936
ENC029-000118,2024-03-31,norte,telefono,1,0,,15.189873
ENC029-000119,2024-04-01,centro,telefono,1,0,,38.216561
ENC029-000120,2024-04-02,sur,web,1,0,,22.929936
ENC029-000121,2024-04-02,norte,web,1,1,5,15.189873
ENC029-000122,2024-04-03,centro,web,1,1,3,38.216561
ENC029-000123,2024-04-04,sur,telefono,1,1,5,22.929936
ENC029-000124,2024-04-05,norte,telefono,1,1,3,15.189873
ENC029-000125,2024-04-05,centro,telefono,1,0,,38.216561
ENC029-000126,2024-04-06,sur,telefono,1,1,3,22.929936
ENC029-000127,2024-04-07,norte,telefono,1,1,5,15.189873
ENC029-000128,2024-04-08,centro,web,1,0,,38.216561
ENC029-000129,2024-04-08,sur,web,1,1,4,22.929936
ENC029-000130,2024-04-09,norte,web,1,1,3,15.189873
ENC029-000131,2024-04-10,centro,web,1,0,,38.216561
ENC029-000132,2024-04-11,sur,telefono,1,1,2,22.929936
ENC029-000133,2024-04-12,norte,web,1,1,3,15.189873
ENC029-000134,2024-04-12,centro,web,1,1,4,38.216561
ENC029-000135,2024-04-13,sur,telefono,1,1,5,22.929936
ENC029-000136,2024-04-14,norte,web,1,0,,15.189873
ENC029-000137,2024-04-15,centro,telefono,1,0,,38.216561
ENC029-000138,2024-04-15,sur,telefono,1,0,,22.929936
ENC029-000139,2024-04-16,norte,web,1,1,4,15.189873
ENC029-000140,2024-04-17,centro,telefono,1,1,3,38.216561
ENC029-000141,2024-04-18,sur,telefono,1,0,,22.929936
ENC029-000142,2024-04-19,norte,telefono,1,1,5,15.189873
ENC029-000143,2024-04-19,centro,web,1,0,,38.216561
ENC029-000144,2024-04-20,sur,telefono,1,1,4,22.929936
ENC029-000145,2024-04-21,norte,telefono,1,1,5,15.189873
ENC029-000146,2024-04-22,centro,telefono,1,1,2,38.216561
ENC029-000147,2024-04-22,sur,telefono,1,1,3,22.929936
ENC029-000148,2024-04-23,norte,web,1,1,1,15.189873
ENC029-000149,2024-04-24,centro,web,1,0,,38.216561
ENC029-000150,2024-04-25,sur,telefono,1,1,5,22.929936
ENC029-000151,2024-04-25,norte,web,1,1,4,15.189873
ENC029-000152,2024-04-26,centro,telefono,1,0,,38.216561
ENC029-000153,2024-04-27,sur,telefono,1,0,,22.929936
ENC029-000154,2024-04-28,norte,telefono,1,1,4,15.189873
ENC029-000155,2024-04-29,centro,telefono,1,0,,38.216561
ENC029-000156,2024-04-29,sur,web,1,0,,22.929936
ENC029-000157,2024-04-30,norte,telefono,1,1,4,15.189873
ENC029-000158,2024-05-01,centro,web,1,0,,38.216561
ENC029-000159,2024-05-02,sur,web,1,0,,22.929936
ENC029-000160,2024-05-02,norte,telefono,1,0,,15.189873
ENC029-000161,2024-05-03,centro,web,1,0,,38.216561
ENC029-000162,2024-05-04,sur,telefono,1,0,,22.929936
ENC029-000163,2024-05-05,norte,web,1,1,4,15.189873
ENC029-000164,2024-05-06,centro,telefono,1,0,,38.216561
ENC029-000165,2024-05-06,sur,telefono,1,0,,22.929936
ENC029-000166,2024-05-07,norte,web,1,1,2,15.189873
ENC029-000167,2024-05-08,centro,web,1,0,,38.216561
ENC029-000168,2024-05-09,sur,telefono,1,1,4,22.929936
ENC029-000169,2024-05-09,norte,web,1,1,4,15.189873
ENC029-000170,2024-05-10,centro,telefono,1,1,2,38.216561
ENC029-000171,2024-05-11,sur,telefono,1,1,5,22.929936
ENC029-000172,2024-05-12,norte,web,1,0,,15.189873
ENC029-000173,2024-05-13,centro,web,1,0,,38.216561
ENC029-000174,2024-05-13,sur,telefono,1,0,,22.929936
ENC029-000175,2024-05-14,norte,web,1,0,,15.189873
ENC029-000176,2024-05-15,centro,telefono,1,0,,38.216561
ENC029-000177,2024-05-16,sur,telefono,1,1,4,22.929936
ENC029-000178,2024-05-16,norte,web,1,1,3,15.189873
ENC029-000179,2024-05-17,centro,telefono,1,1,1,38.216561
ENC029-000180,2024-05-18,sur,web,1,0,,22.929936
ENC029-000181,2024-05-19,norte,telefono,1,1,3,15.189873
ENC029-000182,2024-05-19,centro,telefono,1,0,,38.216561
ENC029-000183,2024-05-20,sur,web,1,1,4,22.929936
ENC029-000184,2024-05-21,norte,telefono,1,0,,15.189873
ENC029-000185,2024-05-22,centro,telefono,1,0,,38.216561
ENC029-000186,2024-05-23,sur,telefono,1,0,,22.929936
ENC029-000187,2024-05-23,norte,telefono,1,1,4,15.189873
ENC029-000188,2024-05-24,centro,web,1,0,,38.216561
ENC029-000189,2024-05-25,sur,telefono,1,1,4,22.929936
ENC029-000190,2024-05-26,norte,telefono,1,1,5,15.189873
ENC029-000191,2024-05-26,centro,web,1,0,,38.216561
ENC029-000192,2024-05-27,sur,telefono,1,1,3,22.929936
ENC029-000193,2024-05-28,norte,web,1,1,3,15.189873
ENC029-000194,2024-05-29,centro,web,1,0,,38.216561
ENC029-000195,2024-05-30, SUR ,telefono,1,0,,22.929936
ENC029-000196,2024-05-30,norte,telefono,1,1,1,15.189873
ENC029-000197,2024-05-31,centro,telefono,1,0,,38.216561
ENC029-000198,2024-06-01,sur,web,1,1,4,22.929936
ENC029-000199,2024-06-02,norte,telefono,1,1,3,15.189873
ENC029-000200,2024-06-02,centro,telefono,1,0,,38.216561
ENC029-000201,2024-06-03,sur,telefono,1,1,3,22.929936
ENC029-000202,2024-06-04,norte,web,1,1,4,15.189873
ENC029-000203,2024-06-05,centro,telefono,1,1,4,38.216561
ENC029-000204,2024-06-05,sur,telefono,1,1,3,22.929936
ENC029-000205,2024-06-06,norte,telefono,1,1,4,15.189873
ENC029-000206,2024-06-07,centro,web,1,0,,38.216561
ENC029-000207,2024-06-08,sur,web,1,1,3,22.929936
ENC029-000208,2024-06-09,norte,web,1,1,4,15.189873
ENC029-000209,2024-06-09,centro,web,1,1,3,38.216561
ENC029-000210,2024-06-10,sur,telefono,1,1,3,22.929936
ENC029-000211,2024-06-11,norte,telefono,1,1,4,15.189873
ENC029-000212,2024-06-12,centro,telefono,1,1,2,38.216561
ENC029-000213,2024-06-12,sur,web,1,0,,22.929936
ENC029-000214,2024-06-13,norte,telefono,1,1,4,15.189873
ENC029-000215,2024-06-14,centro,web,1,0,,38.216561
