registro_id,fecha,area,contrato,antiguedad_meses,horas,formacion_h,salario,absentismo_dias
PER032-000001,2024-01-01,operaciones,parcial,10,80,0,1285.45,4
PER032-000002,2024-01-01,administracion,completo,162,160,6.1,3442.8,0
PER032-000003,2024-01-02,comercial,parcial,165,80,0,1969.27,5
PER032-000004,2024-01-03,operaciones,parcial,128,80,0,1432.31,1
PER032-000005,2024-01-03,administracion,completo,84,160,0,3202.09,0
PER032-000006,2024-01-04,comercial,completo,153,160,6.4,4219.39,0
PER032-000007,2024-01-05,operaciones,completo,99,160,0,3075.77,0
PER032-000008,2024-01-06,administracion,parcial,8,80,0,1285.32,3
PER032-000009,2024-01-06,comercial,completo,168,160,2.5,4031.25,2
PER032-000010,2024-01-07,operaciones,completo,171,160,8.1,3337.08,1
PER032-000011,2024-01-08,administracion,parcial,177,80,13.1,1835.14,3
PER032-000012,2024-01-09,comercial,completo,43,160,0,3318.25,1
PER032-000013,2024-01-09,operaciones,parcial,179,80,8.5,1651.29,3
PER032-000014,2024-01-10,administracion,parcial,28,80,1.7,1344.67,2
PER032-000015,2024-01-11,comercial,completo,180,160,0,4370.39,3
PER032-000016,2024-01-12,operaciones,completo,29,160,5.6,2645.41,3
PER032-000017,2024-01-12,administracion,completo,128,160,11.6,3286.41,3
PER032-000018,2024-01-13,comercial,parcial,77,80,12.5,1785.46,2
PER032-000019,2024-01-14,operaciones,completo,81,160,0,2964.79,0
PER032-000020,2024-01-14,administracion,completo,107,160,0,3476.34,3
PER032-000021,2024-01-15,comercial,completo,102,160,3.8,3799.21,1
PER032-000022,2024-01-16,operaciones,parcial,119,80,3.9,1334.18,1
PER032-000023,2024-01-17,administracion,completo,158,160,13.5,3614.56,2
PER032-000024,2024-01-17,comercial,completo,16,160,0,3512.36,4
PER032-000025,2024-01-18,operaciones,parcial,18,80,23.5,1034.48,4
PER032-000026,2024-01-19,administracion,completo,179,160,0,3463.81,1
PER032-000027,2024-01-20,comercial,completo,158,160,7.9,3853.3,4
PER032-000028,2024-01-20,operaciones,completo,133,160,4.4,2994.42,3
PER032-000029,2024-01-21,administracion,completo,137,160,6.4,3564.68,4
PER032-000030,2024-01-22,comercial,completo,169,160,1.9,4218.5,3
PER032-000031,2024-01-23,operaciones,parcial,151,80,6.7,1438.39,1
PER032-000032,2024-01-23,administracion,completo,44,160,0,3020.48,1
PER032-000033,2024-01-24,comercial,parcial,4,80,7.2,1551.32,0
PER032-000034,2024-01-25,operaciones,completo,127,160,5.2,3148.06,3
PER032-000035,2024-01-26,administracion,parcial,50,80,6.6,1585.97,3
PER032-000036,2024-01-26,comercial,completo,133,160,6.5,3668.99,5
PER032-000037,2024-01-27,operaciones,completo,6,160,0,2188.83,4
PER032-000038,2024-01-28,administracion,completo,30,160,4.8,2786.29,4
PER032-000039,2024-01-28,comercial,completo,49,160,5.2,3727.91,2
PER032-000040,2024-01-29,operaciones,completo,125,160,5.1,2667.75,0
PER032-000041,2024-01-30,administracion,completo,3,160,0,2542.96,2
PER032-000042,2024-01-31,comercial,parcial,15,80,0,1604.66,1
PER032-000043,2024-01-31,operaciones,completo,39,160,8.2,2430.03,2
PER032-000044,2024-02-01,administracion,parcial,77,80,2.0,1701.24,1
PER032-000045,2024-02-02,comercial,completo,84,160,14.3,3816.02,3
PER032-000046,2024-02-03,operaciones,completo,145,160,10.1,3222.37,3
PER032-000047,2024-02-03,administracion,parcial,123,80,0,1637.4,4
PER032-000048,2024-02-04,comercial,completo,180,160,20.2,3888.43,5
PER032-000049,2024-02-05,operaciones,completo,35,160,0,2720.32,1
PER032-000050,2024-02-06,administracion,parcial,175,80,8.5,1877.32,3
PER032-000051,2024-02-06,comercial,parcial,3,80,14.2,1503.22,1
PER032-000052,2024-02-07,operaciones,completo,137,160,4.8,2806.95,4
PER032-000053,2024-02-08,administracion,completo,120,160,13.6,3309.67,0
PER032-000054,2024-02-09,comercial,parcial,6,80,9.3,1476.66,3
PER032-000055,2024-02-09,operaciones,completo,63,160,0,2763.51,3
PER032-000056,2024-02-10,administracion,completo,112,160,0,3551.59,2
PER032-000057,2024-02-11,comercial,completo,20,160,13.4,3362.88,0
PER032-000058,2024-02-11,operaciones,completo,112,160,0,2735.58,1
PER032-000059,2024-02-12,administracion,completo,123,160,18.5,3296.98,0
PER032-000060,2024-02-13,comercial,completo,42,160,0,3699.09,0
PER032-000061,2024-02-14,operaciones,completo,178,160,0,3133.46,2
PER032-000062,2024-02-14,administracion,completo,11,160,7.4,2485.34,1
PER032-000063,2024-02-15,comercial,parcial,78,80,8.5,1800.91,0
PER032-000064,2024-02-16,operaciones,completo,170,160,0,3348.74,0
PER032-000065,2024-02-17,administracion,parcial,2,80,4.8,1334.71,3
PER032-000066,2024-02-17,comercial,completo,152,160,0,3984.94,2
PER032-000067,2024-02-18,operaciones,completo,107,160,0,2537.08,5
PER032-000068,2024-02-19,administracion,completo,17,160,0,3094.41,4
PER032-000069,2024-02-20,comercial,completo,132,160,0,4014.78,0
PER032-000070,2024-02-20,operaciones,completo,131,160,0,2797.41,1
PER032-000071,2024-02-21,administracion,completo,123,160,0,3472.07,2
PER032-000072,2024-02-22,comercial,parcial,92,80,6.7,1919.18,0
PER032-000073,2024-02-22,operaciones,completo,27,160,6.4,2427.47,4
PER032-000074,2024-02-23,administracion,completo,157,160,5.1,3588.4,3
PER032-000075,2024-02-24,comercial,completo,105,160,0,4006.47,3
PER032-000076,2024-02-25,operaciones,completo,179,160,0,2923.43,5
PER032-000077,2024-02-25,administracion,completo,128,160,4.9,3308.69,3
PER032-000078,2024-02-26,comercial,parcial,125,80,4.1,1871.78,2
PER032-000079,2024-02-27,operaciones,completo,81,160,0,2743.51,0
PER032-000080,2024-02-28,administracion,completo,32,160,9.7,2764.16,3
PER032-000081,2024-02-28,comercial,parcial,88,80,2.8,2002.78,5
PER032-000082,2024-02-29,operaciones,completo,12,160,0,2505.74,0
PER032-000083,2024-03-01,administracion,completo,22,160,3.3,2952.9,2
PER032-000084,2024-03-02,comercial,completo,61,160,0,,1
PER032-000085,2024-03-02,operaciones,parcial,78,80,6.1,1294.66,2
PER032-000086,2024-03-03,administracion,completo,51,160,0,2987.3,2
