registro_id,fecha,sucursal,genero,dias_prestamo,renovacion,devuelto
BIB036-000001,2024-01-01,S1,ensayo,730,0,0
BIB036-000002,2024-01-01,S2,infantil,9,0,1
BIB036-000003,2024-01-02,S3,infantil,15,0,1
BIB036-000004,2024-01-03,S1,ensayo,21,0,1
BIB036-000005,2024-01-03,S2,infantil,8,0,1
BIB036-000006,2024-01-04,S3,infantil,13,0,1
BIB036-000007,2024-01-05,S1,novela,24,0,1
BIB036-000008,2024-01-05,S2,ensayo,726,0,0
BIB036-000009,2024-01-06,S3,novela,725,0,0
BIB036-000010,2024-01-07,S1,ensayo,724,0,0
BIB036-000011,2024-01-07,S2,ensayo,21,0,1
BIB036-000012,2024-01-08,S3,ensayo,13,0,1
BIB036-000013,2024-01-09,S1,novela,7,0,1
BIB036-000014,2024-01-09,S2,novela,722,0,0
BIB036-000015,2024-01-10,S3,infantil,25,1,1
BIB036-000016,2024-01-11,S1,infantil,12,0,1
BIB036-000017,2024-01-12,S2,ensayo,25,0,1
BIB036-000018,2024-01-12,S3,novela,28,1,1
BIB036-000019,2024-01-13,S1,infantil,21,1,1
BIB036-000020,2024-01-14,S2,novela,38,1,1
BIB036-000021,2024-01-14,S3,infantil,27,1,1
BIB036-000022,2024-01-15,S1,novela,716,0,0
BIB036-000023,2024-01-16,S2,ensayo,23,1,1
BIB036-000024,2024-01-16,S3,infantil,5,0,1
BIB036-000025,2024-01-17,S1,novela,6,0,1
BIB036-000026,2024-01-18,S2,ensayo,23,0,1
BIB036-000027,2024-01-18,S3,ensayo,16,0,1
BIB036-000028,2024-01-19,S1,ensayo,4,0,1
BIB036-000029,2024-01-20,S2,novela,35,1,1
BIB036-000030,2024-01-21,S3,infantil,11,0,1
BIB036-000031,2024-01-21,S1,novela,14,0,1
BIB036-000032,2024-01-22,S2,novela,16,0,1
BIB036-000033,2024-01-23,S3,ensayo,20,0,1
BIB036-000034,2024-01-23,S1,infantil,18,0,1
BIB036-000035,2024-01-24,S2,ensayo,10,0,1
BIB036-000036,2024-01-25,S3,infantil,16,0,1
BIB036-000037,2024-01-25,S1,infantil,4,0,1
BIB036-000038,2024-01-26,S2,ensayo,18,0,1
BIB036-000039,2024-01-27,S3,novela,8,0,1
BIB036-000040,2024-01-27,S1,novela,11,0,1
BIB036-000041,2024-01-28,S2,ensayo,20,0,1
BIB036-000042,2024-01-29,S3,infantil,7,0,1
BIB036-000043,2024-01-30,S1,novela,3,0,1
BIB036-000044,2024-01-30,S2,novela,4,0,1
BIB036-000045,2024-01-31,S3,infantil,12,0,1
BIB036-000046,2024-02-01,S1,novela,23,0,1
BIB036-000047,2024-02-01,S2,novela,699,0,0
BIB036-000048,2024-02-02,S3,ensayo,698,0,0
BIB036-000049,2024-02-03,S1,ensayo,15,0,1
BIB036-000050,2024-02-03,S2,novela,697,0,0
BIB036-000051,2024-02-04,S3,ensayo,19,1,1
BIB036-000052,2024-02-05,S1,infantil,695,0,0
BIB036-000053,2024-02-05,S2,ensayo,695,0,0
BIB036-000054,2024-02-06,S3,novela,38,1,1
BIB036-000055,2024-02-07,S1,ensayo,16,0,1
BIB036-000056,2024-02-08,S2,novela,5,0,1
BIB036-000057,2024-02-08,S3,ensayo,13,0,1
BIB036-000058,2024-02-09,S1,infantil,24,1,1
BIB036-000059,2024-02-10,S2,novela,23,1,1
BIB036-000060,2024-02-10,S3,infantil,32,1,1
BIB036-000061,2024-02-11,S1,ensayo,4,0,1
BIB036-000062,2024-02-12,S2,novela,7,0,1
BIB036-000063,2024-02-12,S3,novela,30,1,1
BIB036-000064,2024-02-13,S1,novela,687,0,0
BIB036-000065,2024-02-14,S2,infantil,20,0,1
BIB036-000066,2024-02-14,S3,novela,26,1,1
BIB036-000067,2024-02-15,S1,infantil,12,0,1
BIB036-000068,2024-02-16,S2,novela,684,0,0
BIB036-000069,2024-02-17,S3,infantil,40,1,1
BIB036-000070,2024-02-17,S1,ensayo,7,0,1
BIB036-000071,2024-02-18,S2,infantil,682,0,0
BIB036-000072,2024-02-19,S3,novela,40,1,1
BIB036-000073,2024-02-19,S1,infantil,35,1,1
BIB036-000074,2024-02-20,S2,infantil,680,0,0
BIB036-000075,2024-02-21,S3,infantil,4,0,1
BIB036-000076,2024-02-21,S1,infantil,7,0,1
BIB036-000077,2024-02-22,S2,infantil,21,1,1
BIB036-000078,2024-02-23,S3,novela,7,0,1
BIB036-000079,2024-02-23,S1,ensayo,21,0,1
BIB036-000080,2024-02-24,S2,novela,676,0,0
BIB036-000081,2024-02-25,S3,ensayo,11,0,1
BIB036-000082,2024-02-25,S1,novela,27,1,1
BIB036-000083,2024-02-26,S2,infantil,27,1,1
BIB036-000084,2024-02-27,S3,ensayo,,1,1
BIB036-000085,2024-02-28,S1,infantil,25,0,1
BIB036-000086,2024-02-28,S2,infantil,25,0,1
BIB036-000087,2024-02-29,S3,infantil,671,0,0
BIB036-000088,2024-03-01,S1,ensayo,14,0,1
BIB036-000089,2024-03-01,S2,novela,22,0,1
BIB036-000090,2024-03-02,S3,novela,16,0,1
BIB036-000091,2024-03-03,S1,novela,19,1,1
BIB036-000092,2024-03-03,S2,infantil,13,0,1
BIB036-000093,2024-03-04,S3,ensayo,667,0,0
BIB036-000094,2024-03-05,S1,novela,6,0,1
BIB036-000095,2024-03-05,S2,infantil,14,0,1
BIB036-000096,2024-03-06,S3,ensayo,19,0,1
BIB036-000097,2024-03-07,S1,infantil,8,0,1
BIB036-000098,2024-03-08,S2, NOVELA ,17,0,1
BIB036-000099,2024-03-08,S3,ensayo,17,0,1
BIB036-000100,2024-03-09,S1,infantil,16,0,1
BIB036-000101,2024-03-10,S2,infantil,25,0,1
BIB036-000102,2024-03-10,S3,infantil,33,1,1
BIB036-000103,2024-03-11,S1,infantil,31,1,1
BIB036-000104,2024-03-12,S2,ensayo,17,0,1
BIB036-000105,2024-03-12,S3,ensayo,659,1,0
BIB036-000106,2024-03-13,S1,novela,18,1,1
BIB036-000107,2024-03-14,S2,ensayo,13,0,1
BIB036-000108,2024-03-14,S3,infantil,9,0,1
BIB036-000109,2024-03-15,S1,infantil,22,0,1
BIB036-000110,2024-03-16,S2,ensayo,12,0,1
BIB036-000111,2024-03-17,S3,infantil,27,1,1
BIB036-000112,2024-03-17,S1,novela,2,0,1
BIB036-000113,2024-03-18,S2,novela,9,0,1
BIB036-000114,2024-03-19,S3,novela,11,0,1
BIB036-000115,2024-03-19,S1,novela,6,0,1
BIB036-000116,2024-03-20,S2,infantil,12,0,1
BIB036-000117,2024-03-21,S3,infantil,24,0,1
BIB036-000118,2024-03-21,S1,novela,650,1,0
BIB036-000119,2024-03-22,S2,infantil,23,1,1
BIB036-000120,2024-03-23,S3,novela,2,0,1
BIB036-000121,2024-03-23,S1,ensayo,648,0,0
BIB036-000122,2024-03-24,S2,novela,10,0,1
BIB036-000123,2024-03-25,S3,ensayo,28,1,1
BIB036-000124,2024-03-26,S1,novela,18,0,1
BIB036-000125,2024-03-26,S2,infantil,3,0,1
BIB036-000126,2024-03-27,S3,infantil,24,1,1
BIB036-000127,2024-03-28,S1,novela,4,0,1
BIB036-000128,2024-03-28,S2,novela,22,0,1
BIB036-000129,2024-03-29,S3,novela,14,0,1
BIB036-000130,2024-03-30,S1,novela,10,0,1
BIB036-000131,2024-03-30,S2,infantil,641,0,0
BIB036-000132,2024-03-31,S3,novela,640,0,0
BIB036-000133,2024-04-01,S1,infantil,16,0,1
BIB036-000134,2024-04-01,S2,infantil,639,0,0
BIB036-000135,2024-04-02,S3,ensayo,14,0,1
BIB036-000136,2024-04-03,S1,ensayo,2,0,1
BIB036-000137,2024-04-04,S2,ensayo,14,0,1
BIB036-000138,2024-04-04,S3,infantil,31,1,1
BIB036-000139,2024-04-05,S1,novela,19,1,1
BIB036-000140,2024-04-06,S2,infantil,19,0,1
BIB036-000141,2024-04-06,S3,infantil,25,0,1
BIB036-000142,2024-04-07,S1,infantil,25,1,1
BIB036-000143,2024-04-08,S2,infantil,7,0,1
BIB036-000144,2024-04-08,S3,infantil,22,0,1
BIB036-000145,2024-04-09,S1,ensayo,12,0,1
BIB036-000146,2024-04-10,S2,infantil,630,0,0
BIB036-000147,2024-04-10,S3,ensayo,18,0,1
BIB036-000148,2024-04-11,S1,infantil,8,0,1
BIB036-000149,2024-04-12,S2,infantil,25,0,1
BIB036-000150,2024-04-13,S3,ensayo,6,0,1
BIB036-000151,2024-04-13,S1,infantil,25,0,1
