registro_id,fecha,equipo,canal,prioridad,minutos_resolucion,estado,reabierto
SOP043-000001,2024-01-01,E1,web,normal,36.3,cerrado,0
SOP043-000002,2024-01-01,E2,telefono,normal,,abierto,0
SOP043-000003,2024-01-02,E3,web,normal,2761.5,cerrado,0
SOP043-000004,2024-01-02,E1,correo,normal,285.8,cerrado,0
SOP043-000005,2024-01-03,E2,telefono,alta,650.7,cerrado,0
SOP043-000006,2024-01-03,E3,web,baja,583.5,cerrado,0
SOP043-000007,2024-01-04,E1,web,normal,,abierto,0
SOP043-000008,2024-01-05,E2,web,normal,5552.3,cerrado,1
SOP043-000009,2024-01-05,E3,correo,normal,,abierto,0
SOP043-000010,2024-01-06,E1,telefono,alta,4848.0,cerrado,1
SOP043-000011,2024-01-06,E2,web,alta,241.7,cerrado,0
SOP043-000012,2024-01-07,E3,telefono,normal,,abierto,0
SOP043-000013,2024-01-08,E1,correo,normal,,abierto,0
SOP043-000014,2024-01-08,E2,correo,normal,259.0,cerrado,0
SOP043-000015,2024-01-09,E3,web,normal,1171.9,cerrado,0
SOP043-000016,2024-01-09,E1,correo,normal,783.0,cerrado,0
SOP043-000017,2024-01-10,E2,correo,normal,4653.8,cerrado,1
SOP043-000018,2024-01-11,E3,telefono,normal,5720.0,cerrado,1
SOP043-000019,2024-01-11,E1,web,normal,384.5,cerrado,0
SOP043-000020,2024-01-12,E2,correo,baja,258.8,cerrado,0
SOP043-000021,2024-01-12,E3,correo,normal,820.3,cerrado,0
SOP043-000022,2024-01-13,E1,telefono,normal,158.2,cerrado,0
SOP043-000023,2024-01-14,E2,correo,baja,535.8,cerrado,0
SOP043-000024,2024-01-14,E3,correo,normal,146.8,cerrado,0
SOP043-000025,2024-01-15,E1,correo,normal,4445.9,cerrado,1
SOP043-000026,2024-01-15,E2,telefono,normal,1074.0,cerrado,0
SOP043-000027,2024-01-16,E3,correo,alta,830.2,cerrado,0
SOP043-000028,2024-01-17,E1,telefono,alta,607.3,cerrado,0
SOP043-000029,2024-01-17,E2,web,baja,,abierto,0
SOP043-000030,2024-01-18,E3,telefono,alta,,abierto,0
SOP043-000031,2024-01-18,E1,telefono,normal,,abierto,0
SOP043-000032,2024-01-19,E2,correo,normal,183.2,cerrado,0
SOP043-000033,2024-01-20,E3,correo,normal,1048.8,cerrado,0
SOP043-000034,2024-01-20,E1,telefono,alta,,abierto,0
SOP043-000035,2024-01-21,E2,telefono,baja,1170.1,cerrado,0
SOP043-000036,2024-01-21,E3,correo,normal,5605.1,cerrado,1
SOP043-000037,2024-01-22,E1,telefono,alta,126.5,cerrado,0
SOP043-000038,2024-01-22,E2,correo,baja,720.2,cerrado,0
SOP043-000039,2024-01-23,E3,correo,normal,776.5,cerrado,0
SOP043-000040,2024-01-24,E1,web,normal,571.2,cerrado,0
SOP043-000041,2024-01-24,E2,telefono,normal,1207.8,cerrado,0
SOP043-000042,2024-01-25,E3,web,alta,468.8,cerrado,0
SOP043-000043,2024-01-25,E1,telefono,baja,695.8,cerrado,0
SOP043-000044,2024-01-26,E2,telefono,alta,924.1,cerrado,0
SOP043-000045,2024-01-27,E3,correo,normal,367.8,cerrado,0
SOP043-000046,2024-01-27,E1,web,alta,139.2,cerrado,0
SOP043-000047,2024-01-28,E2,telefono,baja,4712.7,cerrado,1
SOP043-000048,2024-01-28,E3,web,alta,5468.1,cerrado,1
SOP043-000049,2024-01-29,E1,web,normal,454.9,cerrado,0
SOP043-000050,2024-01-30,E2,telefono,normal,,abierto,0
SOP043-000051,2024-01-30,E3,correo,normal,796.6,cerrado,0
SOP043-000052,2024-01-31,E1,web,normal,1209.2,cerrado,0
SOP043-000053,2024-01-31,E2,correo,normal,373.7,cerrado,0
SOP043-000054,2024-02-01,E3,correo,alta,630.5,cerrado,0
SOP043-000055,2024-02-02,E1,correo,normal,612.9,cerrado,0
SOP043-000056,2024-02-02,E2,correo,alta,1386.2,cerrado,0
SOP043-000057,2024-02-03,E3,web,normal,,abierto,0
SOP043-000058,2024-02-03,E1,web,baja,,abierto,0
SOP043-000059,2024-02-04,E2,web,normal,,abierto,0
