usuario,alta,pais
U0001,2023-12-31,CL
U0002,2024-01-01,CO
U0003,2024-01-03,PE
U0004,2024-01-05,CL
U0005,2024-01-07,CO
U0006,2024-01-09,PE
U0007,2024-01-11,CL
U0008,2024-01-13,CO
U0009,2024-01-15,PE
U0010,2024-01-26,CL
U0011,2024-01-28,CO
U0012,2024-01-30,PE
U0013,2024-02-01,CL
U0014,2024-02-03,CO
U0015,2024-02-05,PE
U0016,2024-02-07,CL
U0017,2024-02-09,CO
U0018,2024-02-10,PE
U0019,2024-02-12,CL
U0020,2024-02-24,CO
U0021,2024-02-26,PE
U0022,2024-02-28,CL
U0023,2024-03-01,CO
U0024,2024-03-03,PE
U0025,2024-03-05,CL
U0026,2024-03-06,CO
U0027,2024-03-08,PE
U0028,2024-03-10,CL
U0029,2024-03-12,CO
U0030,2024-03-24,PE
U0031,2024-03-26,CL
U0032,2024-03-28,CO
U0033,2024-03-30,PE
U0034,2024-03-31,CL
U0035,2024-04-02,CO
U0036,2024-04-04,PE
U0037,2024-04-06,CL
U0038,2024-04-08,CO
U0039,2024-04-10,PE
U0040,2024-04-22,CL
U0041,2024-04-24,CO
U0042,2024-04-25,PE
U0043,2024-04-27,CL
U0044,2024-04-29,CO
U0045,2024-05-01,PE
U0046,2024-05-03,CL
U0047,2024-05-05,CO
U0048,2024-05-07,PE
U0049,2024-05-09,CL
U0050,2024-05-21,CO
U0051,2024-05-22,PE
U0052,2024-05-24,CL
U0053,2024-05-26,CO
U0054,2024-05-28,PE
U0055,2024-05-30,CL
U0056,2024-06-01,CO
U0057,2024-06-03,PE
U0058,2024-06-05,CL
U0059,2024-06-06,CO
U0060,2024-06-18,PE
U0061,2024-06-20,CL
U0062,2024-06-22,CO
U0063,2024-06-24,PE
U0064,2024-06-26,CL
U0065,2024-06-28,CO
U0066,2024-06-30,PE
U0067,2024-07-01,CL
U0068,2024-07-03,CO
U0069,2024-07-05,PE
U0070,2024-07-17,CL
U0071,2024-07-19,CO
U0072,2024-07-21,PE
U0073,2024-07-23,CL
U0074,2024-07-25,CO
U0075,2024-07-26,PE
U0076,2024-07-28,CL
U0077,2024-07-30,CO
U0078,2024-08-01,PE
U0079,2024-08-03,CL
U0080,2024-08-15,CO
U0081,2024-08-17,PE
U0082,2024-08-19,CL
U0083,2024-08-20,CO
U0084,2024-08-22,PE
U0085,2024-08-24,CL
U0086,2024-08-26,CO
U0087,2024-08-28,PE
U0088,2024-08-30,CL
U0089,2024-09-01,CO
U0090,2024-09-13,PE
U0091,2024-09-15,CL
U0092,2024-09-16,CO
U0093,2024-09-18,PE
U0094,2024-09-20,CL
U0095,2024-09-22,CO
U0096,2024-09-24,PE
U0097,2024-09-26,CL
U0098,2024-09-28,CO
U0099,2024-09-30,PE
U0100,2024-10-11,CL
U0101,2024-10-13,CO
U0102,2024-10-15,PE
U0103,2024-10-17,CL
U0104,2024-10-19,CO
U0105,2024-10-21,PE
U0106,2024-10-23,CL
U0107,2024-10-25,CO
U0108,2024-10-26,PE
U0109,2024-10-28,CL
U0110,2024-11-09,CO
U0111,2024-11-11,PE
U0112,2024-11-13,CL
U0113,2024-11-15,CO
U0114,2024-11-17,PE
U0115,2024-11-19,CL
U0116,2024-11-20,CO
U0117,2024-11-22,PE
U0118,2024-11-24,CL
U0119,2024-11-26,CO
U0120,2024-12-08,PE
U0121,2024-12-10,CL
U0122,2024-12-12,CO
U0123,2024-12-14,PE
U0124,2024-12-15,CL
U0125,2024-12-17,CO
U0126,2024-12-19,PE
U0127,2024-12-21,CL
U0128,2024-12-23,CO
U0129,2024-12-25,PE
U0130,2025-01-06,CL
U0131,2025-01-08,CO
U0132,2025-01-10,PE
U0133,2025-01-11,CL
U0134,2025-01-13,CO
U0135,2025-01-15,PE
U0136,2025-01-17,CL
U0137,2025-01-19,CO
U0138,2025-01-21,PE
U0139,2025-01-23,CL
U0140,2025-02-04,CO
U0141,2025-02-05,PE
U0142,2025-02-07,CL
U0143,2025-02-09,CO
U0144,2025-02-11,PE
U0145,2025-02-13,CL
U0146,2025-02-15,CO
U0147,2025-02-17,PE
U0148,2025-02-19,CL
U0149,2025-02-20,CO
U0150,2025-03-04,PE
U0151,2025-03-06,CL
U0152,2025-03-08,CO
U0153,2025-03-10,PE
U0154,2025-03-12,CL
U0155,2025-03-14,CO
U0156,2025-03-16,PE
U0157,2025-03-17,CL
U0158,2025-03-19,CO
U0159,2025-03-21,PE
U0160,2025-04-02,CL
U0161,2025-04-04,CO
U0162,2025-04-06,PE
U0163,2025-04-08,CL
U0164,2025-04-10,CO
U0165,2025-04-11,PE
U0166,2025-04-13,CL
