registro_id,fecha,proveedor,categoria,importe,moneda,vencimiento,pago
FIN055-000001,2024-01-01,P09,alquiler,1193.15,USD,2024-01-16,2024-02-15
FIN055-000002,2024-01-01,P02,material,4265.19,PEN,2024-01-31,
FIN055-000003,2024-01-02,P05,alquiler,1243.35,PEN,2024-02-01,2024-02-25
FIN055-000004,2024-01-02,P11,servicio,1483.56,USD,2024-02-16,2024-02-19
FIN055-000005,2024-01-03,P09,servicio,443.83,PEN,2024-02-02,2024-02-16
FIN055-000006,2024-01-03,P03,material,5786.98,PEN,2024-01-18,2024-02-09
FIN055-000007,2024-01-04,P03,alquiler,416.97,PEN,2024-02-03,2024-02-28
FIN055-000008,2024-01-04,P08,material,272.44,PEN,2024-02-18,2024-03-24
FIN055-000009,2024-01-05,P03,material,7027.8,PEN,2024-02-19,
FIN055-000010,2024-01-05,P06,material,46.95,PEN,2024-02-19,2024-03-07
FIN055-000011,2024-01-06,P05,alquiler,109.07,PEN,2024-01-21,2024-01-28
FIN055-000012,2024-01-06,P10,material,1890.47,PEN,2024-02-20,
FIN055-000013,2024-01-07,P12,material,673.48,USD,2024-01-22,2024-01-16
FIN055-000014,2024-01-08,P11,alquiler,765.04,PEN,2024-02-22,2024-03-06
FIN055-000015,2024-01-08,P05,alquiler,3109.42,PEN,2024-02-07,2024-01-31
FIN055-000016,2024-01-09,P01,material,125.0,PEN,2024-02-23,2024-03-23
FIN055-000017,2024-01-09,P01,material,3382.92,USD,2024-02-23,
FIN055-000018,2024-01-10,P01,material,1300.39,USD,2024-01-25,
FIN055-000019,2024-01-10,P03,material,778.56,USD,2024-01-25,
FIN055-000020,2024-01-11,P06,material,535.69,USD,2024-02-25,2024-03-26
FIN055-000021,2024-01-11,P11,material,67.71,USD,2024-02-25,2024-02-17
FIN055-000022,2024-01-12,P01,material,460.63,USD,2024-02-11,
FIN055-000023,2024-01-12,P08,servicio,7422.97,USD,2024-02-26,2024-02-19
FIN055-000024,2024-01-13,P11,alquiler,685.71,PEN,2024-02-12,2024-03-06
FIN055-000025,2024-01-13,P11,alquiler,610.95,PEN,2024-02-12,2024-02-09
FIN055-000026,2024-01-14,P02,alquiler,373.75,PEN,2024-01-29,2024-01-18
FIN055-000027,2024-01-15,P04,servicio,244.89,PEN,2024-02-14,2024-03-15
FIN055-000028,2024-01-15,P01,material,3518.68,PEN,2024-02-29,2024-03-07
FIN055-000029,2024-01-16,P03,material,539.32,USD,2024-03-01,2024-03-08
FIN055-000030,2024-01-16,P01,servicio,2036.96,USD,2024-02-15,
FIN055-000031,2024-01-17,P06,alquiler,3901.48,PEN,2024-02-16,2024-02-25
FIN055-000032,2024-01-17,P09,alquiler,304.03,USD,2024-02-16,
FIN055-000033,2024-01-18,P10,material,494.78,PEN,2024-03-03,2024-03-02
FIN055-000034,2024-01-18,P01,servicio,676.77,PEN,2024-02-17,2024-02-24
FIN055-000035,2024-01-19,P06,material,1635.91,PEN,2024-02-03,
FIN055-000036,2024-01-19,P12,alquiler,330.88,PEN,2024-02-18,2024-02-09
FIN055-000037,2024-01-20,P05,material,769.46,USD,2024-02-04,2024-02-04
FIN055-000038,2024-01-21,P06,material,357.51,PEN,2024-03-06,
FIN055-000039,2024-01-21,P06,servicio,825.72,PEN,2024-02-05,2024-03-05
FIN055-000040,2024-01-22,P06,alquiler,295.2,PEN,2024-03-07,2024-03-05
FIN055-000041,2024-01-22,P12,servicio,519.08,USD,2024-03-07,2024-03-02
FIN055-000042,2024-01-23,P06,alquiler,2345.58,USD,2024-02-07,2024-02-29
FIN055-000043,2024-01-23,P07,material,451.76,PEN,2024-02-22,2024-03-28
FIN055-000044,2024-01-24,P06,servicio,1709.85,USD,2024-03-09,2024-02-29
FIN055-000045,2024-01-24,P11,servicio,917.32,PEN,2024-02-23,2024-03-22
FIN055-000046,2024-01-25,P12,material,461.05,PEN,2024-02-09,2024-03-09
FIN055-000047,2024-01-25,P04,servicio,349.34,PEN,2024-02-09,2024-03-12
FIN055-000048,2024-01-26,P04,servicio,1445.1,PEN,2024-02-25,2024-02-15
FIN055-000049,2024-01-26,P09,servicio,929.72,PEN,2024-03-11,2024-03-27
FIN055-000050,2024-01-27,P08,servicio,558.42,PEN,2024-03-12,2024-03-04
FIN055-000051,2024-01-28,P11,alquiler,123.41,PEN,2024-03-13,2024-04-15
FIN055-000052,2024-01-28,P10,alquiler,976.38,PEN,2024-02-27,
FIN055-000053,2024-01-29,P09,alquiler,830.53,PEN,2024-03-14,2024-03-26
FIN055-000054,2024-01-29,P01,material,528.18,PEN,2024-02-13,
FIN055-000055,2024-01-30,P03,servicio,1060.85,PEN,2024-02-29,2024-02-25
FIN055-000056,2024-01-30,P01,servicio,689.38,PEN,2024-02-14,2024-03-09
FIN055-000057,2024-01-31,P03,servicio,4357.35,PEN,2024-03-16,2024-04-04
FIN055-000058,2024-01-31,P11,servicio,1076.38,PEN,2024-02-15,2024-02-11
FIN055-000059,2024-02-01,P01,alquiler,1229.57,PEN,2024-02-16,2024-03-10
FIN055-000060,2024-02-01,P08,material,169.73,PEN,2024-03-02,
FIN055-000061,2024-02-02,P06,servicio,2162.07,PEN,2024-02-17,2024-03-09
FIN055-000062,2024-02-03,P05,material,110.21,PEN,2024-03-04,2024-02-29
FIN055-000063,2024-02-03,P01,alquiler,1173.32,USD,2024-03-04,2024-03-28
FIN055-000064,2024-02-04,P04,alquiler,6188.11,PEN,2024-02-19,2024-03-05
FIN055-000065,2024-02-04,P08,material,930.76,USD,2024-02-19,2024-02-16
FIN055-000066,2024-02-05,P08,material,1962.31,PEN,2024-02-20,2024-02-17
FIN055-000067,2024-02-05,P06,material,808.52,USD,2024-03-06,
FIN055-000068,2024-02-06,P03,alquiler,734.38,PEN,2024-02-21,2024-03-12
FIN055-000069,2024-02-06,P08,alquiler,1633.84,PEN,2024-02-21,2024-03-22
FIN055-000070,2024-02-07,P10,servicio,2010.26,PEN,2024-02-22,2024-03-11
FIN055-000071,2024-02-07,P12,alquiler,454.42,PEN,2024-02-22,2024-02-21
FIN055-000072,2024-02-08,P10,servicio,624.02,PEN,2024-03-24,2024-04-07
FIN055-000073,2024-02-08,P02,servicio,588.85,PEN,2024-03-09,2024-03-13
FIN055-000074,2024-02-09,P11,alquiler,1470.85,PEN,2024-03-10,
FIN055-000075,2024-02-10,P08,servicio,2166.89,PEN,2024-03-11,2024-04-04
FIN055-000076,2024-02-10,P10,material,2159.17,PEN,2024-03-11,2024-03-16
FIN055-000077,2024-02-11,P08,alquiler,1543.17,PEN,2024-03-12,2024-03-01
FIN055-000078,2024-02-11,P06,material,23.18,PEN,2024-03-27,2024-03-18
FIN055-000079,2024-02-12,P01,alquiler,2059.97,USD,2024-02-27,2024-02-17
FIN055-000080,2024-02-12,P08,material,264.48,PEN,2024-03-28,
FIN055-000081,2024-02-13,P03,material,2588.37,PEN,2024-02-28,2024-03-19
FIN055-000082,2024-02-13,P11,alquiler,318.84,USD,2024-03-14,2024-04-07
FIN055-000083,2024-02-14,P06,alquiler,1964.0,USD,2024-02-29,2024-03-06
FIN055-000084,2024-02-14,P03,servicio,,USD,2024-03-30,2024-04-25
FIN055-000085,2024-02-15,P04,material,296.16,USD,2024-03-01,2024-03-28
FIN055-000086,2024-02-16,P12,servicio,986.67,USD,2024-04-01,2024-04-18
FIN055-000087,2024-02-16,P08,servicio,653.48,USD,2024-04-01,2024-04-25
FIN055-000088,2024-02-17,P03,alquiler,676.54,USD,2024-03-18,2024-04-02
FIN055-000089,2024-02-17,P04,servicio,157.98,PEN,2024-03-18,
FIN055-000090,2024-02-18,P11,material,1928.95,USD,2024-04-03,2024-04-11
FIN055-000091,2024-02-18,P06,servicio,1158.89,USD,2024-04-03,2024-04-17
FIN055-000092,2024-02-19,P08,servicio,316.14,PEN,2024-03-20,2024-03-30
FIN055-000093,2024-02-19,P03,alquiler,481.89,PEN,2024-03-05,2024-02-26
FIN055-000094,2024-02-20,P08,material,343.9,USD,2024-04-05,2024-05-05
FIN055-000095,2024-02-20,P08,servicio,231.65,PEN,2024-03-21,2024-03-22
FIN055-000096,2024-02-21,P07,material,782.23,PEN,2024-04-06,2024-04-07
FIN055-000097,2024-02-21,P09,servicio,451.5,PEN,2024-03-07,2024-04-03
FIN055-000098,2024-02-22,P11, ALQUILER ,1086.52,USD,2024-04-07,2024-05-08
FIN055-000099,2024-02-23,P09,alquiler,577.52,PEN,2024-03-24,
FIN055-000100,2024-02-23,P07,servicio,4597.77,PEN,2024-04-08,2024-03-30
FIN055-000101,2024-02-24,P11,servicio,304.76,PEN,2024-03-25,
FIN055-000102,2024-02-24,P10,alquiler,1226.29,PEN,2024-03-25,2024-03-27
FIN055-000103,2024-02-25,P03,servicio,599.33,PEN,2024-03-11,
FIN055-000104,2024-02-25,P03,material,2061.71,PEN,2024-03-11,2024-03-29
FIN055-000105,2024-02-26,P04,material,140.65,USD,2024-03-27,2024-04-14
FIN055-000106,2024-02-26,P03,material,2791.45,USD,2024-04-11,2024-04-26
FIN055-000107,2024-02-27,P05,servicio,935.37,PEN,2024-03-13,
FIN055-000108,2024-02-27,P02,servicio,1134.16,PEN,2024-03-13,2024-03-03
FIN055-000109,2024-02-28,P08,servicio,543.0,PEN,2024-03-14,2024-03-04
FIN055-000110,2024-02-29,P02,alquiler,1444.11,PEN,2024-03-15,2024-04-14
FIN055-000111,2024-02-29,P02,alquiler,237.02,PEN,2024-03-15,2024-03-20
FIN055-000112,2024-03-01,P04,servicio,1382.92,PEN,2024-03-31,2024-04-18
FIN055-000113,2024-03-01,P12,material,51.97,PEN,2024-03-31,2024-04-06
FIN055-000114,2024-03-02,P12,material,408.53,PEN,2024-04-01,2024-04-14
FIN055-000115,2024-03-02,P05,alquiler,500.17,PEN,2024-04-01,2024-04-18
FIN055-000116,2024-03-03,P10,servicio,170.83,PEN,2024-04-17,2024-04-15
FIN055-000117,2024-03-03,P10,servicio,845.54,USD,2024-04-02,2024-04-25
FIN055-000118,2024-03-04,P12,alquiler,609.11,PEN,2024-04-18,2024-04-11
FIN055-000119,2024-03-04,P06,material,225.21,PEN,2024-04-18,2024-04-08
FIN055-000120,2024-03-05,P09,servicio,691.31,USD,2024-03-20,2024-03-11
FIN055-000121,2024-03-05,P01,servicio,199.98,PEN,2024-03-20,
FIN055-000122,2024-03-06,P09,alquiler,2098.11,USD,2024-04-20,2024-05-01
FIN055-000123,2024-03-07,P02,alquiler,409.65,PEN,2024-03-22,2024-03-21
FIN055-000124,2024-03-07,P09,servicio,5860.09,USD,2024-03-22,
FIN055-000125,2024-03-08,P10,servicio,2755.76,PEN,2024-04-22,
FIN055-000126,2024-03-08,P07,servicio,1796.74,PEN,2024-03-23,2024-04-27
FIN055-000127,2024-03-09,P02,alquiler,452.56,PEN,2024-03-24,2024-03-27
FIN055-000128,2024-03-09,P10,alquiler,71.35,PEN,2024-04-08,2024-04-17
FIN055-000129,2024-03-10,P10,alquiler,310.43,USD,2024-03-25,2024-03-16
FIN055-000130,2024-03-10,P05,servicio,2725.91,USD,2024-04-24,2024-05-27
