registro_id,fecha,muestra,replica,instrumento,concentracion,limite,bajo_limite,unidad
LAB058-000001,2024-01-01,Q00001,1,A,25.217,2,0,mg/L
LAB058-000002,2024-01-01,Q00001,2,A,25.457,2,0,mg/L
LAB058-000003,2024-01-01,Q00001,3,A,24.419,2,0,mg/L
LAB058-000004,2024-01-01,Q00001,1,B,24.965,3,0,mg/L
LAB058-000005,2024-01-01,Q00001,2,B,25.554,3,0,mg/L
LAB058-000006,2024-01-01,Q00001,3,B,25.738,3,0,mg/L
LAB058-000007,2024-01-01,Q00002,1,A,21.139,2,0,mg/L
LAB058-000008,2024-01-01,Q00002,2,A,20.216,2,0,mg/L
LAB058-000009,2024-01-01,Q00002,3,A,20.639,2,0,mg/L
LAB058-000010,2024-01-01,Q00002,1,B,20.945,3,0,mg/L
LAB058-000011,2024-01-01,Q00002,2,B,21.617,3,0,mg/L
LAB058-000012,2024-01-01,Q00002,3,B,20.648,3,0,mg/L
LAB058-000013,2024-01-01,Q00003,1,A,10.049,2,0,mg/L
LAB058-000014,2024-01-01,Q00003,2,A,8.733,2,0,mg/L
LAB058-000015,2024-01-01,Q00003,3,A,8.726,2,0,mg/L
LAB058-000016,2024-01-01,Q00003,1,B,8.853,3,0,mg/L
LAB058-000017,2024-01-01,Q00003,2,B,9.292,3,0,mg/L
LAB058-000018,2024-01-01,Q00003,3,B,9.25,3,0,mg/L
LAB058-000019,2024-01-01,Q00004,1,A,2.325,2,0,mg/L
LAB058-000020,2024-01-01,Q00004,2,A,2.563,2,0,mg/L
LAB058-000021,2024-01-01,Q00004,3,A,3.947,2,0,mg/L
LAB058-000022,2024-01-01,Q00004,1,B,5.516,3,0,mg/L
LAB058-000023,2024-01-01,Q00004,2,B,3.111,3,0,mg/L
LAB058-000024,2024-01-01,Q00004,3,B,4.098,3,0,mg/L
LAB058-000025,2024-01-02,Q00005,1,A,3.254,2,0,mg/L
LAB058-000026,2024-01-02,Q00005,2,A,4.417,2,0,mg/L
LAB058-000027,2024-01-02,Q00005,3,A,2.96,2,0,mg/L
LAB058-000028,2024-01-02,Q00005,1,B,4.011,3,0,mg/L
LAB058-000029,2024-01-02,Q00005,2,B,5.705,3,0,mg/L
LAB058-000030,2024-01-02,Q00005,3,B,5.006,3,0,mg/L
LAB058-000031,2024-01-02,Q00006,1,A,2.732,2,0,mg/L
LAB058-000032,2024-01-02,Q00006,2,A,,2,1,mg/L
LAB058-000033,2024-01-02,Q00006,3,A,2.304,2,0,mg/L
LAB058-000034,2024-01-02,Q00006,1,B,,3,1,mg/L
LAB058-000035,2024-01-02,Q00006,2,B,,3,1,mg/L
LAB058-000036,2024-01-02,Q00006,3,B,3.462,3,0,mg/L
LAB058-000037,2024-01-02,Q00007,1,A,10.162,2,0,mg/L
LAB058-000038,2024-01-02,Q00007,2,A,11.454,2,0,mg/L
LAB058-000039,2024-01-02,Q00007,3,A,9.98,2,0,mg/L
LAB058-000040,2024-01-02,Q00007,1,B,11.226,3,0,mg/L
LAB058-000041,2024-01-02,Q00007,2,B,10.686,3,0,mg/L
LAB058-000042,2024-01-02,Q00007,3,B,11.382,3,0,mg/L
LAB058-000043,2024-01-02,Q00008,1,A,8.975,2,0,mg/L
LAB058-000044,2024-01-02,Q00008,2,A,10.107,2,0,mg/L
LAB058-000045,2024-01-02,Q00008,3,A,11.053,2,0,mg/L
LAB058-000046,2024-01-02,Q00008,1,B,10.543,3,0,mg/L
LAB058-000047,2024-01-02,Q00008,2,B,11.126,3,0,mg/L
LAB058-000048,2024-01-02,Q00008,3,B,10.95,3,0,mg/L
LAB058-000049,2024-01-03,Q00009,1,A,3.282,2,0,mg/L
LAB058-000050,2024-01-03,Q00009,2,A,3.312,2,0,mg/L
LAB058-000051,2024-01-03,Q00009,3,A,2.624,2,0,mg/L
LAB058-000052,2024-01-03,Q00009,1,B,4.132,3,0,mg/L
LAB058-000053,2024-01-03,Q00009,2,B,,3,1,mg/L
LAB058-000054,2024-01-03,Q00009,3,B,,3,1,mg/L
LAB058-000055,2024-01-03,Q00010,1,A,12.87,2,0,mg/L
LAB058-000056,2024-01-03,Q00010,2,A,12.661,2,0,mg/L
LAB058-000057,2024-01-03,Q00010,3,A,12.122,2,0,mg/L
LAB058-000058,2024-01-03,Q00010,1,B,13.155,3,0,mg/L
LAB058-000059,2024-01-03,Q00010,2,B,13.512,3,0,mg/L
LAB058-000060,2024-01-03,Q00010,3,B,12.705,3,0,mg/L
LAB058-000061,2024-01-03,Q00011,1,A,2.734,2,0,mg/L
LAB058-000062,2024-01-03,Q00011,2,A,2.83,2,0,mg/L
LAB058-000063,2024-01-03,Q00011,3,A,3.417,2,0,mg/L
LAB058-000064,2024-01-03,Q00011,1,B,,3,1,mg/L
LAB058-000065,2024-01-03,Q00011,2,B,,3,1,mg/L
LAB058-000066,2024-01-03,Q00011,3,B,3.56,3,0,mg/L
LAB058-000067,2024-01-03,Q00012,1,A,8.01,2,0,mg/L
LAB058-000068,2024-01-03,Q00012,2,A,8.026,2,0,mg/L
LAB058-000069,2024-01-03,Q00012,3,A,6.511,2,0,mg/L
LAB058-000070,2024-01-03,Q00012,1,B,8.107,3,0,mg/L
LAB058-000071,2024-01-03,Q00012,2,B,8.647,3,0,mg/L
LAB058-000072,2024-01-03,Q00012,3,B,9.589,3,0,mg/L
LAB058-000073,2024-01-04,Q00013,1,A,3.1,2,0,mg/L
LAB058-000074,2024-01-04,Q00013,2,A,,2,1,mg/L
LAB058-000075,2024-01-04,Q00013,3,A,2.697,2,0,mg/L
LAB058-000076,2024-01-04,Q00013,1,B,3.556,3,0,mg/L
LAB058-000077,2024-01-04,Q00013,2,B,3.61,3,0,mg/L
LAB058-000078,2024-01-04,Q00013,3,B,3.864,3,0,mg/L
LAB058-000079,2024-01-04,Q00014,1,A,11.653,2,0,mg/L
LAB058-000080,2024-01-04,Q00014,2,A,11.826,2,0,mg/L
LAB058-000081,2024-01-04,Q00014,3,A,10.779,2,0,mg/L
LAB058-000082,2024-01-04,Q00014,1,B,10.676,3,0,mg/L
LAB058-000083,2024-01-04,Q00014,2,B,12.506,3,0,mg/L
LAB058-000084,2024-01-04,Q00014,3,B,,3,0,mg/L
LAB058-000085,2024-01-04,Q00015,1,A,33.106,2,0,mg/L
LAB058-000086,2024-01-04,Q00015,2,A,34.363,2,0,mg/L
LAB058-000087,2024-01-04,Q00015,3,A,33.912,2,0,mg/L
LAB058-000088,2024-01-04,Q00015,1,B,34.391,3,0,mg/L
LAB058-000089,2024-01-04,Q00015,2,B,34.832,3,0,mg/L
LAB058-000090,2024-01-04,Q00015,3,B,33.399,3,0,mg/L
LAB058-000091,2024-01-04,Q00016,1,A,7.372,2,0,mg/L
LAB058-000092,2024-01-04,Q00016,2,A,7.503,2,0,mg/L
LAB058-000093,2024-01-04,Q00016,3,A,6.843,2,0,mg/L
LAB058-000094,2024-01-04,Q00016,1,B,7.692,3,0,mg/L
LAB058-000095,2024-01-04,Q00016,2,B,8.882,3,0,mg/L
LAB058-000096,2024-01-04,Q00016,3,B,7.758,3,0,mg/L
LAB058-000097,2024-01-05,Q00017,1,A,,2,1,mg/L
LAB058-000098,2024-01-05,Q00017,2,A,2.36,2,0, MG/L 
