registro_id,grupo_asignado,fecha_asignacion
EXP060-000001,B,2024-01-01
EXP060-000002,B,2024-01-01
EXP060-000003,B,2024-01-02
EXP060-000004,B,2024-01-02
EXP060-000005,A,2024-01-03
EXP060-000006,A,2024-01-03
EXP060-000007,B,2024-01-04
EXP060-000008,B,2024-01-04
EXP060-000009,A,2024-01-05
EXP060-000010,A,2024-01-05
EXP060-000011,B,2024-01-06
EXP060-000012,A,2024-01-06
EXP060-000013,A,2024-01-07
EXP060-000014,A,2024-01-07
EXP060-000015,B,2024-01-08
EXP060-000016,B,2024-01-08
EXP060-000017,B,2024-01-09
EXP060-000018,A,2024-01-09
EXP060-000019,A,2024-01-10
EXP060-000020,A,2024-01-10
EXP060-000021,B,2024-01-11
EXP060-000022,A,2024-01-11
EXP060-000023,B,2024-01-12
EXP060-000024,B,2024-01-13
EXP060-000025,A,2024-01-13
EXP060-000026,A,2024-01-14
EXP060-000027,B,2024-01-14
EXP060-000028,A,2024-01-15
EXP060-000029,B,2024-01-15
EXP060-000030,A,2024-01-16
EXP060-000031,B,2024-01-16
EXP060-000032,B,2024-01-17
EXP060-000033,B,2024-01-17
EXP060-000034,B,2024-01-18
EXP060-000035,A,2024-01-18
EXP060-000036,A,2024-01-19
EXP060-000037,B,2024-01-19
EXP060-000038,B,2024-01-20
EXP060-000039,B,2024-01-20
EXP060-000040,A,2024-01-21
EXP060-000041,A,2024-01-21
EXP060-000042,A,2024-01-22
EXP060-000043,B,2024-01-22
EXP060-000044,A,2024-01-23
EXP060-000045,B,2024-01-23
EXP060-000046,B,2024-01-24
EXP060-000047,B,2024-01-25
EXP060-000048,A,2024-01-25
EXP060-000049,A,2024-01-26
EXP060-000050,A,2024-01-26
EXP060-000051,A,2024-01-27
EXP060-000052,B,2024-01-27
EXP060-000053,B,2024-01-28
EXP060-000054,B,2024-01-28
EXP060-000055,A,2024-01-29
EXP060-000056,B,2024-01-29
EXP060-000057,A,2024-01-30
EXP060-000058,A,2024-01-30
EXP060-000059,A,2024-01-31
EXP060-000060,A,2024-01-31
EXP060-000061,B,2024-02-01
EXP060-000062,B,2024-02-01
EXP060-000063,A,2024-02-02
EXP060-000064,A,2024-02-02
EXP060-000065,A,2024-02-03
EXP060-000066,B,2024-02-03
EXP060-000067,B,2024-02-04
EXP060-000068,A,2024-02-04
EXP060-000069,A,2024-02-05
EXP060-000070,A,2024-02-06
EXP060-000071,B,2024-02-06
EXP060-000072,B,2024-02-07
EXP060-000073,A,2024-02-07
EXP060-000074,A,2024-02-08
EXP060-000075,A,2024-02-08
EXP060-000076,A,2024-02-09
EXP060-000077,B,2024-02-09
EXP060-000078,A,2024-02-10
EXP060-000079,A,2024-02-10
EXP060-000080,B,2024-02-11
EXP060-000081,A,2024-02-11
EXP060-000082,B,2024-02-12
EXP060-000083,A,2024-02-12
EXP060-000084,B,2024-02-13
EXP060-000085,A,2024-02-13
EXP060-000086,B,2024-02-14
EXP060-000087,A,2024-02-14
EXP060-000088,B,2024-02-15
EXP060-000089,A,2024-02-15
EXP060-000090,B,2024-02-16
EXP060-000091,B,2024-02-16
EXP060-000092,A,2024-02-17
EXP060-000093,A,2024-02-18
EXP060-000094,B,2024-02-18
EXP060-000095,B,2024-02-19
EXP060-000096,A,2024-02-19
EXP060-000097,A,2024-02-20
EXP060-000098,A,2024-02-20
EXP060-000099,A,2024-02-21
EXP060-000100,A,2024-02-21
EXP060-000101,A,2024-02-22
EXP060-000102,A,2024-02-22
EXP060-000103,A,2024-02-23
EXP060-000104,A,2024-02-23
EXP060-000105,A,2024-02-24
