registro_id,fecha,edificio,temperatura_c,ocupacion,kwh,superficie_m2,tarifa
ENE066-000001,2024-01-01,B1,17.1,55,135.01,600,0.62
ENE066-000002,2024-01-01,B2,20.7,74,195.32,1200,0.62
ENE066-000003,2024-01-01,B3,16.1,115,349.01,1800,0.62
ENE066-000004,2024-01-02,B1,19.5,54,118.57,600,0.62
ENE066-000005,2024-01-02,B2,18.4,85,221.17,1200,0.62
ENE066-000006,2024-01-02,B3,20.2,101,298.37,1800,0.62
ENE066-000007,2024-01-03,B1,22.2,38,110.93,600,0.62
ENE066-000008,2024-01-03,B2,21.1,68,221.4,1200,0.62
ENE066-000009,2024-01-03,B3,23.6,89,343.86,1800,0.62
ENE066-000010,2024-01-04,B1,20.7,37,102.18,600,0.62
ENE066-000011,2024-01-04,B2,19.5,50,168.19,1200,0.62
ENE066-000012,2024-01-04,B3,18.6,120,329.64,1800,0.62
ENE066-000013,2024-01-05,B1,18.7,40,117.83,600,0.62
ENE066-000014,2024-01-05,B2,19.6,76,209.63,1200,0.62
ENE066-000015,2024-01-05,B3,18.3,113,310.1,1800,0.62
ENE066-000016,2024-01-06,B1,17.7,11,59.62,600,0.62
ENE066-000017,2024-01-06,B2,19.9,15,116.67,1200,0.62
ENE066-000019,2024-01-07,B1,18.3,9,59.24,600,0.62
ENE066-000020,2024-01-07,B2,20.3,14,123.23,1200,0.62
ENE066-000021,2024-01-07,B3,17.8,18,181.4,1800,0.62
ENE066-000022,2024-01-08,B1,19.8,65,147.03,600,0.62
ENE066-000023,2024-01-08,B2,21.8,83,243.28,1200,0.62
ENE066-000024,2024-01-08,B3,18.7,100,290.67,1800,0.62
ENE066-000025,2024-01-09,B1,23.2,46,124.34,600,0.62
ENE066-000026,2024-01-09,B2,20.3,75,222.7,1200,0.62
ENE066-000027,2024-01-09,B3,19.8,94,296.94,1800,0.62
ENE066-000028,2024-01-10,B1,22.6,57,155.02,600,0.62
ENE066-000029,2024-01-10,B2,21.0,80,240.47,1200,0.62
ENE066-000030,2024-01-10,B3,21.3,80,280.77,1800,0.62
ENE066-000031,2024-01-11,B1,20.7,54,122.42,600,0.62
ENE066-000032,2024-01-11,B2,19.3,75,217.13,1200,0.62
ENE066-000033,2024-01-11,B3,21.8,98,319.98,1800,0.62
ENE066-000034,2024-01-12,B1,23.9,58,170.34,600,0.62
ENE066-000035,2024-01-12,B2,21.2,84,236.35,1200,0.62
ENE066-000036,2024-01-12,B3,23.2,121,397.81,1800,0.62
ENE066-000037,2024-01-13,B1,18.9,10,72.56,600,0.62
ENE066-000038,2024-01-13,B2,19.0,14,106.87,1200,0.62
ENE066-000039,2024-01-13,B3,20.9,30,209.43,1800,0.62
ENE066-000040,2024-01-14,B1,19.4,11,68.29,600,0.62
ENE066-000041,2024-01-14,B2,23.3,15,154.37,1200,0.62
ENE066-000042,2024-01-14,B3,20.9,25,197.31,1800,0.62
ENE066-000043,2024-01-15,B1,23.2,56,164.72,600,0.62
ENE066-000044,2024-01-15,B2,21.1,86,237.19,1200,0.62
ENE066-000045,2024-01-15,B3,19.1,88,277.43,1800,0.62
ENE066-000046,2024-01-16,B1,22.8,51,146.81,600,0.62
ENE066-000047,2024-01-16,B2,21.8,69,214.89,1200,0.62
ENE066-000048,2024-01-16,B3,20.2,113,321.48,1800,0.62
ENE066-000049,2024-01-17,B1,21.1,52,132.61,600,0.62
ENE066-000050,2024-01-17,B2,21.1,47,175.63,1200,0.62
ENE066-000051,2024-01-17,B3,20.6,86,279.5,1800,0.62
ENE066-000052,2024-01-18,B1,19.1,57,122.28,600,0.62
ENE066-000053,2024-01-18,B2,19.5,63,194.92,1200,0.62
ENE066-000054,2024-01-18,B3,21.7,95,323.14,1800,0.62
ENE066-000055,2024-01-19,B1,23.1,44,135.14,600,0.62
ENE066-000056,2024-01-19,B2,21.1,82,221.29,1200,0.62
ENE066-000057,2024-01-19,B3,20.4,107,315.86,1800,0.62
ENE066-000058,2024-01-20,B1,22.7,7,75.66,600,0.62
ENE066-000059,2024-01-20,B2,22.3,13,146.91,1200,0.62
ENE066-000060,2024-01-20,B3,22.4,22,202.06,1800,0.62
ENE066-000061,2024-01-21,B1,21.2,5,63.83,600,0.62
ENE066-000062,2024-01-21,B2,21.9,17,149.66,1200,0.62
ENE066-000063,2024-01-21,B3,22.0,25,234.2,1800,0.62
ENE066-000064,2024-01-22,B1,19.1,39,101.16,600,0.62
ENE066-000065,2024-01-22,B2,22.2,78,229.72,1200,0.62
ENE066-000066,2024-01-22,B3,25.9,115,489.41,1800,0.62
ENE066-000067,2024-01-23,B1,19.2,42,109.3,600,0.62
ENE066-000068,2024-01-23,B2,24.8,64,279.77,1200,0.62
ENE066-000069,2024-01-23,B3,24.1,82,358.89,1800,0.62
ENE066-000070,2024-01-24,B1,20.7,16,80.88,600,0.62
ENE066-000072,2024-01-24,B3,19.2,106,304.1,1800,0.62
ENE066-000073,2024-01-25,B1,22.5,47,132.39,600,0.62
ENE066-000074,2024-01-25,B2,22.1,92,255.35,1200,0.62
ENE066-000075,2024-01-25,B3,22.2,100,317.86,1800,0.62
ENE066-000076,2024-01-26,B1,24.0,58,176.9,600,0.62
ENE066-000077,2024-01-26,B2,23.1,60,218.44,1200,0.62
ENE066-000078,2024-01-26,B3,26.6,95,476.49,1800,0.62
ENE066-000079,2024-01-27,B1,21.1,8,53.65,600,0.62
ENE066-000080,2024-01-27,B2,23.1,12,154.93,1200,0.62
ENE066-000081,2024-01-27,B3,21.6,18,203.45,1800,0.62
ENE066-000082,2024-01-28,B1,20.9,6,53.96,600,0.62
ENE066-000083,2024-01-28,B2,24.6,14,195.47,1200,0.62
ENE066-000084,2024-01-28,B3,22.4,16,,1800,0.62
ENE066-000085,2024-01-29,B1,24.0,41,143.32,600,0.62
ENE066-000086,2024-01-29,B2,20.7,94,246.15,1200,0.62
ENE066-000087,2024-01-29,B3,22.3,95,311.21,1800,0.62
ENE066-000088,2024-01-30,B1,21.6,33,117.03,600,0.62
ENE066-000089,2024-01-30,B2,23.5,84,278.44,1200,0.62
ENE066-000090,2024-01-30,B3,24.0,124,411.01,1800,0.62
ENE066-000091,2024-01-31,B1,23.3,46,150.19,600,0.62
ENE066-000092,2024-01-31,B2,21.4,70,218.24,1200,0.62
ENE066-000093,2024-01-31,B3,26.0,103,477.94,1800,0.62
ENE066-000094,2024-02-01,B1,22.3,40,123.23,600,0.62
ENE066-000095,2024-02-01,B2,23.3,94,285.38,1200,0.62
ENE066-000096,2024-02-01,B3,23.7,89,354.59,1800,0.62
ENE066-000097,2024-02-02,B1,24.2,28,122.98,600,0.62
ENE066-000098,2024-02-02,B2,23.8,64,252.79,1200,0.62
ENE066-000099,2024-02-02,B3,22.7,113,351.41,1800,0.62
ENE066-000100,2024-02-03,B1,25.1,10,120.45,600,0.62
ENE066-000101,2024-02-03,B2,24.2,16,177.71,1200,0.62
ENE066-000102,2024-02-03,B3,22.5,17,199.98,1800,0.62
ENE066-000103,2024-02-04,B1,22.3,7,60.8,600,0.62
ENE066-000104,2024-02-04,B2,22.5,12,146.0,1200,0.62
ENE066-000105,2024-02-04,B3,25.3,21,315.01,1800,0.62
ENE066-000106,2024-02-05,B1,24.7,41,140.04,600,0.62
ENE066-000107,2024-02-05,B2,24.9,59,269.1,1200,0.62
ENE066-000108,2024-02-05,B3,23.2,90,352.44,1800,0.62
ENE066-000109,2024-02-06,B1,23.0,62,155.76,600,0.62
ENE066-000110,2024-02-06,B2,23.4,86,279.29,1200,0.62
ENE066-000111,2024-02-06,B3,23.8,103,382.45,1800,0.62
ENE066-000112,2024-02-07,B1,22.8,28,113.1,600,0.62
ENE066-000113,2024-02-07,B2,28.4,72,416.0,1200,0.62
ENE066-000114,2024-02-07,B3,20.3,116,320.08,1800,0.62
ENE066-000115,2024-02-08,B1,23.8,42,131.3,600,0.62
ENE066-000116,2024-02-08,B2,25.3,35,242.07,1200,0.62
ENE066-000117,2024-02-08,B3,24.0,112,407.6,1800,0.62
ENE066-000118,2024-02-09,B1,24.9,20,115.5,600,0.62
ENE066-000119,2024-02-09,B2,24.8,64,277.53,1200,0.62
ENE066-000120,2024-02-09,B3,23.0,125,393.38,1800,0.62
ENE066-000121,2024-02-10,B1,24.9,8,100.3,600,0.62
ENE066-000122,2024-02-10,B2,23.6,14,153.63,1200,0.62
ENE066-000123,2024-02-10,B3,27.5,20,437.31,1800,0.62
ENE066-000125,2024-02-11,B2,26.0,13,230.46,1200,0.62
ENE066-000126,2024-02-11,B3,24.2,19,258.13,1800,0.62
ENE066-000127,2024-02-12,B1,25.8,37,145.16,600,0.62
ENE066-000128,2024-02-12,B2,25.0,93,311.51,1200,0.62
ENE066-000129,2024-02-12,B3,24.7,103,419.91,1800,0.62
ENE066-000130,2024-02-13,B1,26.9,54,216.59,600,0.62
ENE066-000131,2024-02-13,B2,26.8,101,397.62,1200,0.62
ENE066-000132,2024-02-13,B3,26.1,109,496.5,1800,0.62
ENE066-000133,2024-02-14,B1,26.5,66,217.53,600,0.62
ENE066-000134,2024-02-14,B2,26.6,83,355.47,1200,0.62
ENE066-000135,2024-02-14,B3,23.7,104,393.9,1800,0.62
ENE066-000136,2024-02-15,B1,26.4,36,174.52,600,0.62
ENE066-000137,2024-02-15,B2,26.2,74,327.56,1200,0.62
ENE066-000138,2024-02-15,B3,24.4,101,396.7,1800,0.62
ENE066-000139,2024-02-16,B1,25.8,31,151.71,600,0.62
ENE066-000140,2024-02-16,B2,25.4,56,279.11,1200,0.62
ENE066-000141,2024-02-16,B3,25.4,123,479.37,1800,0.62
ENE066-000142,2024-02-17,B1,24.1,9,80.86,600,0.62
ENE066-000143,2024-02-17,B2,26.5,17,247.65,1200,0.62
ENE066-000144,2024-02-17,B3,22.8,24,232.26,1800,0.62
ENE066-000145,2024-02-18,B1,24.3,10,93.17,600,0.62
ENE066-000146,2024-02-18,B2,23.3,15,164.91,1200,0.62
ENE066-000147,2024-02-18,B3,23.8,19,255.69,1800,0.62
ENE066-000148,2024-02-19,B1,27.9,50,211.94,600,0.62
ENE066-000149,2024-02-19,B2,25.0,81,313.01,1200,0.62
ENE066-000150,2024-02-19,B3,26.0,99,475.46,1800,0.62
ENE066-000151,2024-02-20,B1,29.1,37,232.85,600,0.62
ENE066-000152,2024-02-20,B2,28.7,74,423.21,1200,0.62
ENE066-000153,2024-02-20,B3,25.5,87,429.93,1800,0.62
ENE066-000154,2024-02-21,B1,26.1,63,194.0,600,0.62
ENE066-000155,2024-02-21,B2,29.4,81,474.26,1200,0.62
ENE066-000156,2024-02-21,B3,24.8,79,373.29,1800,0.62
ENE066-000157,2024-02-22,B1,24.2,55,157.87,600,0.62
ENE066-000158,2024-02-22,B2,27.9,92,431.79,1200,0.62
ENE066-000159,2024-02-22,B3,27.4,108,554.05,1800,0.62
ENE066-000160,2024-02-23,B1,25.6,43,165.06,600,0.62
ENE066-000161,2024-02-23,B2,26.3,95,362.02,1200,0.62
ENE066-000162,2024-02-23,B3,23.2,121,387.08,1800,0.62
ENE066-000163,2024-02-24,B1,28.5,12,180.28,600,0.62
ENE066-000164,2024-02-24,B2,27.4,16,287.38,1200,0.62
ENE066-000165,2024-02-24,B3,24.7,20,285.31,1800,0.62
ENE066-000166,2024-02-25,B1,29.1,12,193.21,600,0.62
ENE066-000167,2024-02-25,B2,27.5,11,,1200,0.62
ENE066-000168,2024-02-25,B3,25.0,21,312.71,1800,0.62
ENE066-000169,2024-02-26,B1,26.9,44,187.86,600,0.62
ENE066-000170,2024-02-26,B2,27.8,71,374.55,1200,0.62
ENE066-000171,2024-02-26,B3,26.5,114,518.3,1800,0.62
ENE066-000172,2024-02-27,B1,25.7,11,118.66,600,0.62
ENE066-000173,2024-02-27,B2,28.5,78,424.39,1200,0.62
ENE066-000174,2024-02-27,B3,28.3,98,599.55,1800,0.62
ENE066-000175,2024-02-28,B1,27.4,52,223.19,600,0.62
ENE066-000176,2024-02-28,B2,26.6,90,371.2,1200,0.62
ENE066-000178,2024-02-29,B1,26.8,50,187.36,600,0.62
ENE066-000179,2024-02-29,B2,24.8,74,284.95,1200,0.62
ENE066-000180,2024-02-29,B3,25.6,113,456.66,1800,0.62
ENE066-000181,2024-03-01,B1,24.4,34,135.17,600,0.62
