registro_id,fecha_reserva,fecha_llegada,hotel,canal,noches,tarifa,cancelada,pais
TUR068-000001,2024-01-01,2024-04-08,H1,directo,8,95.92,0,PE
TUR068-000002,2024-01-01,2024-02-22,H2,agencia,5,157.34,0,ES
TUR068-000003,2024-01-01,2024-05-23,H3,agencia,7,185.57,0,CL
TUR068-000004,2024-01-02,2024-04-15,H1,agencia,9,110.35,1,CL
TUR068-000005,2024-01-02,2024-04-27,H2,directo,2,147.18,0,ES
TUR068-000006,2024-01-02,2024-02-12,H3,directo,5,200.37,0,CL
TUR068-000007,2024-01-03,2024-03-20,H1,agencia,8,109.23,0,CL
TUR068-000008,2024-01-03,2024-01-21,H2,plataforma,4,164.37,0,PE
TUR068-000009,2024-01-03,2024-05-17,H3,agencia,8,202.75,0,CO
TUR068-000010,2024-01-04,2024-03-04,H1,plataforma,8,106.38,0,PE
TUR068-000011,2024-01-04,2024-04-26,H2,agencia,5,142.36,1,ES
TUR068-000012,2024-01-04,2024-05-28,H3,plataforma,6,200.76,0,PE
TUR068-000013,2024-01-05,2024-05-18,H1,agencia,8,116.99,0,CO
TUR068-000014,2024-01-05,2024-05-03,H2,plataforma,8,142.32,1,CL
TUR068-000015,2024-01-05,2024-06-02,H3,plataforma,1,188.3,0,CL
TUR068-000016,2024-01-06,2024-04-01,H1,agencia,9,118.41,0,ES
TUR068-000017,2024-01-06,2024-05-03,H2,directo,10,164.04,0,CL
TUR068-000018,2024-01-06,2024-03-14,H3,plataforma,3,211.04,0,PE
TUR068-000019,2024-01-07,2024-04-05,H1,plataforma,8,113.21,0,PE
TUR068-000020,2024-01-07,2024-03-14,H2,plataforma,11,147.15,1,ES
TUR068-000021,2024-01-07,2024-04-05,H3,agencia,3,195.55,0,CO
TUR068-000022,2024-01-08,2024-04-12,H1,directo,10,121.73,1,CO
TUR068-000023,2024-01-08,2024-03-11,H2,agencia,11,152.4,0,ES
TUR068-000024,2024-01-09,2024-05-23,H3,plataforma,6,191.59,1,PE
TUR068-000025,2024-01-09,2024-04-14,H1,agencia,1,106.81,1,CO
TUR068-000026,2024-01-09,2024-04-26,H2,agencia,2,146.71,0,PE
TUR068-000027,2024-01-10,2024-03-08,H3,directo,12,211.54,0,PE
TUR068-000028,2024-01-10,2024-02-07,H1,agencia,7,104.14,0,CO
