registro_id,fecha,sede,modalidad,asistencia_pct,nota_inicial,nota_final,horas_estudio,tutorias
NOT081-000001,2024-01-01,S1,presencial,84.8,17.7,16.3,4.1,1
NOT081-000002,2024-01-01,S2,virtual,72.5,8.9,10.8,7.4,9
NOT081-000003,2024-01-01,S3,presencial,76.4,12.5,14.1,10.5,1
NOT081-000004,2024-01-01,S1,virtual,65.7,7.8,9.6,6.7,7
NOT081-000005,2024-01-01,S2,presencial,80.4,12.9,12.5,10.7,0
NOT081-000006,2024-01-02,S3,virtual,88.4,13.6,10.0,1.0,2
NOT081-000007,2024-01-02,S1,presencial,85.3,6.1,5.8,6.2,8
NOT081-000008,2024-01-02,S2,presencial,81.5,3.0,7.7,3.7,10
NOT081-000009,2024-01-02,S3,presencial,72.0,7.6,6.8,2.1,2
NOT081-000010,2024-01-03,S1,virtual,83.7,16.1,19.9,11.1,0
NOT081-000011,2024-01-03,S2,virtual,50.2,11.8,8.8,9.6,1
NOT081-000012,2024-01-03,S3,presencial,99.4,10.3,16.5,8.3,0
NOT081-000013,2024-01-03,S1,presencial,78.2,7.9,10.1,2.2,9
NOT081-000014,2024-01-04,S2,presencial,29.4,10.0,7.4,5.0,1
NOT081-000015,2024-01-04,S3,virtual,49.8,13.8,13.9,4.7,1
NOT081-000016,2024-01-04,S1,virtual,70.5,8.0,10.9,7.9,4
NOT081-000017,2024-01-04,S2,virtual,100,9.5,15.3,11.8,4
NOT081-000018,2024-01-05,S3,presencial,78.6,13.8,12.3,0.3,2
NOT081-000019,2024-01-05,S1,presencial,100,12.2,11.1,2.8,0
NOT081-000020,2024-01-05,S2,virtual,79.6,9.3,12.5,11.7,10
NOT081-000021,2024-01-05,S3,virtual,81.8,9.0,11.7,6.0,9
NOT081-000022,2024-01-06,S1,virtual,80.2,16.7,15.3,8.7,0
NOT081-000023,2024-01-06,S2,presencial,66.4,9.0,10.4,8.1,9
NOT081-000024,2024-01-06,S3,presencial,71.3,7.7,8.7,12.0,6
NOT081-000025,2024-01-06,S1,virtual,53.3,17.6,16.4,6.2,3
NOT081-000026,2024-01-07,S2,virtual,67.1,9.0,8.7,2.0,9
NOT081-000027,2024-01-07,S3,presencial,72.4,10.6,9.2,0.6,1
NOT081-000028,2024-01-07,S1,presencial,80.3,12.2,13.7,7.8,0
NOT081-000029,2024-01-07,S2,presencial,74.7,15.3,11.8,1.3,2
NOT081-000030,2024-01-08,S3,virtual,87.0,15.8,16.3,8.8,0
NOT081-000031,2024-01-08,S1,virtual,39.5,11.6,10.6,2.8,2
NOT081-000032,2024-01-08,S2,presencial,85.0,10.1,11.0,8.8,3
NOT081-000033,2024-01-08,S3,presencial,68.8,8.0,13.2,8.2,6
NOT081-000034,2024-01-09,S1,presencial,87.4,11.1,9.7,3.8,1
NOT081-000035,2024-01-09,S2,presencial,57.0,13.1,8.6,2.6,1
NOT081-000036,2024-01-09,S3,virtual,68.6,6.7,10.4,8.0,6
NOT081-000037,2024-01-09,S1,presencial,62.9,11.0,8.5,3.3,0
NOT081-000038,2024-01-10,S2,presencial,100,9.8,11.2,7.7,3
NOT081-000039,2024-01-10,S3,presencial,58.6,11.4,11.3,10.1,1
NOT081-000040,2024-01-10,S1,presencial,80.7,5.4,6.9,2.0,2
NOT081-000041,2024-01-10,S2,presencial,100,12.7,16.2,2.1,2
NOT081-000042,2024-01-10,S3,virtual,83.5,10.0,13.6,6.9,3
NOT081-000043,2024-01-11,S1,virtual,92.6,8.9,10.2,8.9,5
NOT081-000044,2024-01-11,S2,virtual,63.4,14.6,11.9,7.8,3
NOT081-000045,2024-01-11,S3,presencial,50.5,8.1,6.8,1.3,10
NOT081-000046,2024-01-11,S1,presencial,73.9,9.3,10.6,3.3,6
NOT081-000047,2024-01-12,S2,virtual,100,14.8,10.0,0.7,3
NOT081-000048,2024-01-12,S3,virtual,64.5,10.9,12.8,4.0,1
NOT081-000049,2024-01-12,S1,virtual,94.9,10.4,11.8,4.9,1
NOT081-000050,2024-01-12,S2,presencial,71.4,6.8,7.7,2.8,2
NOT081-000051,2024-01-13,S3,virtual,95.2,7.9,9.0,5.8,3
NOT081-000052,2024-01-13,S1,presencial,74.8,13.9,13.7,1.0,2
NOT081-000053,2024-01-13,S2,presencial,67.4,15.2,14.9,1.4,2
NOT081-000054,2024-01-13,S3,virtual,66.6,12.4,10.1,4.6,2
NOT081-000055,2024-01-14,S1,virtual,87.5,9.9,15.6,5.2,7
NOT081-000056,2024-01-14,S2,presencial,75.4,8.0,10.0,9.2,10
NOT081-000057,2024-01-14,S3,presencial,89.6,7.7,7.7,3.9,3
NOT081-000058,2024-01-14,S1,virtual,75.9,12.8,13.7,3.4,0
NOT081-000059,2024-01-15,S2,virtual,68.6,9.1,6.0,9.0,3
NOT081-000060,2024-01-15,S3,virtual,90.1,7.4,8.5,0.8,3
NOT081-000061,2024-01-15,S1,presencial,95.2,9.9,12.5,7.6,10
NOT081-000062,2024-01-15,S2,virtual,70.5,13.6,9.8,3.4,3
NOT081-000063,2024-01-16,S3,presencial,68.5,13.7,11.4,10.4,0
NOT081-000064,2024-01-16,S1,presencial,42.1,8.6,9.6,5.6,2
NOT081-000065,2024-01-16,S2,presencial,94.9,8.0,11.2,9.5,8
NOT081-000066,2024-01-16,S3,virtual,56.1,10.1,9.3,6.9,1
NOT081-000067,2024-01-17,S1,virtual,47.5,13.3,11.8,6.4,1
NOT081-000068,2024-01-17,S2,virtual,54.3,13.4,9.8,9.8,1
NOT081-000069,2024-01-17,S3,virtual,85.8,10.0,8.7,2.7,2
NOT081-000070,2024-01-17,S1,virtual,62.8,9.9,11.1,11.5,3
NOT081-000071,2024-01-18,S2,virtual,46.1,7.0,9.2,4.4,6
NOT081-000072,2024-01-18,S3,virtual,92.2,12.9,12.8,9.3,0
NOT081-000073,2024-01-18,S1,virtual,100,13.7,17.5,11.3,2
NOT081-000074,2024-01-18,S2,presencial,96.3,9.5,11.6,8.7,8
NOT081-000075,2024-01-19,S3,presencial,98.8,11.5,12.9,1.7,2
NOT081-000076,2024-01-19,S1,virtual,64.7,9.4,9.7,8.7,4
NOT081-000077,2024-01-19,S2,presencial,93.8,10.3,11.4,1.0,0
NOT081-000078,2024-01-19,S3,presencial,94.0,13.9,16.3,8.8,0
NOT081-000079,2024-01-20,S1,presencial,90.2,11.7,13.4,4.5,1
NOT081-000080,2024-01-20,S2,presencial,82.6,12.7,10.7,0.8,3
NOT081-000081,2024-01-20,S3,presencial,77.1,2.1,7.7,10.9,10
NOT081-000082,2024-01-20,S1,virtual,88.1,14.9,14.1,2.8,0
NOT081-000083,2024-01-20,S2,presencial,86.4,15.3,15.3,10.8,0
NOT081-000084,2024-01-21,S3,virtual,64.9,10.2,,10.3,2
NOT081-000085,2024-01-21,S1,presencial,92.7,8.0,10.2,2.4,6
NOT081-000086,2024-01-21,S2,virtual,77.8,18.6,15.9,11.1,0
NOT081-000087,2024-01-21,S3,virtual,93.5,12.8,12.9,3.0,3
NOT081-000088,2024-01-22,S1,virtual,80.1,8.0,9.5,2.9,2
NOT081-000089,2024-01-22,S2,virtual,82.2,5.0,5.6,5.3,6
NOT081-000090,2024-01-22,S3,presencial,100,12.4,13.0,11.4,2
NOT081-000091,2024-01-22,S1,virtual,82.9,9.2,9.8,0.9,8
NOT081-000092,2024-01-23,S2,virtual,64.0,12.3,15.6,10.8,2
NOT081-000093,2024-01-23,S3,virtual,70.2,12.5,11.6,2.4,1
NOT081-000094,2024-01-23,S1,virtual,93.4,11.7,11.3,1.6,3
NOT081-000095,2024-01-23,S2,presencial,92.3,11.6,12.1,2.7,3
NOT081-000096,2024-01-24,S3,virtual,69.8,14.6,13.6,7.4,2
NOT081-000097,2024-01-24,S1,presencial,100,14.8,16.7,3.2,3
NOT081-000098,2024-01-24,S2, PRESENCIAL ,56.7,8.6,11.9,8.9,5
NOT081-000099,2024-01-24,S3,presencial,92.4,6.6,8.9,3.4,6
NOT081-000100,2024-01-25,S1,virtual,73.5,13.7,12.3,4.2,1
NOT081-000101,2024-01-25,S2,virtual,74.1,7.7,5.3,1.4,7
NOT081-000102,2024-01-25,S3,presencial,71.8,10.3,9.6,2.2,1
NOT081-000103,2024-01-25,S1,presencial,76.3,12.9,11.3,6.7,2
NOT081-000104,2024-01-26,S2,presencial,84.7,12.8,10.2,1.8,0
NOT081-000105,2024-01-26,S3,presencial,80.8,9.7,12.4,8.4,10
NOT081-000106,2024-01-26,S1,virtual,52.4,9.6,8.0,3.7,2
NOT081-000107,2024-01-26,S2,virtual,44.5,11.9,12.3,10.4,0
NOT081-000108,2024-01-27,S3,virtual,74.2,9.4,11.4,3.2,5
NOT081-000109,2024-01-27,S1,virtual,65.6,10.7,10.0,7.4,1
NOT081-000110,2024-01-27,S2,presencial,79.3,12.1,13.7,7.4,1
NOT081-000111,2024-01-27,S3,presencial,63.3,13.1,11.9,10.4,2
NOT081-000112,2024-01-28,S1,presencial,74.5,11.5,12.2,0.5,3
NOT081-000113,2024-01-28,S2,virtual,79.2,9.6,12.4,10.0,10
NOT081-000114,2024-01-28,S3,presencial,53.5,10.3,11.1,1.7,1
NOT081-000115,2024-01-28,S1,virtual,68.4,10.3,10.5,10.3,3
NOT081-000116,2024-01-29,S2,presencial,49.5,11.0,3.9,4.0,1
NOT081-000117,2024-01-29,S3,presencial,62.7,8.5,10.9,3.6,6
NOT081-000118,2024-01-29,S1,virtual,70.6,2.6,8.0,10.8,10
NOT081-000119,2024-01-29,S2,virtual,72.5,15.7,13.4,0.7,3
NOT081-000120,2024-01-29,S3,presencial,86.7,13.8,12.3,11.2,1
NOT081-000121,2024-01-30,S1,virtual,64.9,7.2,10.8,9.8,4
NOT081-000122,2024-01-30,S2,presencial,67.2,7.7,8.3,5.8,10
NOT081-000123,2024-01-30,S3,virtual,85.5,9.0,12.3,3.9,9
NOT081-000124,2024-01-30,S1,presencial,87.9,10.1,11.8,6.8,3
NOT081-000125,2024-01-31,S2,virtual,58.5,15.2,11.6,8.3,3
NOT081-000126,2024-01-31,S3,presencial,93.5,9.3,10.9,4.6,5
NOT081-000127,2024-01-31,S1,virtual,100,11.6,13.6,10.4,0
NOT081-000128,2024-01-31,S2,presencial,99.7,14.5,17.0,6.9,3
NOT081-000129,2024-02-01,S3,virtual,88.8,11.3,10.1,3.8,2
NOT081-000130,2024-02-01,S1,virtual,50.0,11.9,14.6,10.5,3
