registro_id,fecha,maquina,turno,unidades,defectos,horas,parada_min,vibracion,mantenimiento,fallo_7d,reparacion_coste
IND085-000001,2024-01-01,M1,dia,313,5,5.5,9.2,2.88,0,0,0
IND085-000002,2024-01-01,M2,dia,308,3,5.2,19.3,1.89,0,0,0
IND085-000003,2024-01-01,M3,dia,392,9,5.2,2.1,3.77,0,1,453.73
IND085-000004,2024-01-01,M4,dia,280,6,3.9,28.5,2.91,0,0,0
IND085-000005,2024-01-01,M5,dia,621,16,4.9,5.8,4.04,0,0,0
IND085-000006,2024-01-02,M6,dia,310,13,4.2,0.1,3.26,0,0,0
IND085-000007,2024-01-02,M1,noche,598,9,3.9,14.8,3.29,0,0,0
IND085-000008,2024-01-02,M2,noche,228,7,6.6,38.3,2.42,0,0,0
IND085-000009,2024-01-02,M3,noche,276,7,6.3,60.8,3.38,0,1,1219.25
IND085-000010,2024-01-03,M4,noche,520,16,6.9,15.8,3.6,0,0,0
IND085-000011,2024-01-03,M5,noche,237,10,5.6,1.4,3.14,0,0,0
IND085-000012,2024-01-03,M6,noche,629,21,3.7,14.5,3.32,0,0,0
IND085-000013,2024-01-03,M1,dia,312,6,5.4,3.2,2.17,0,0,0
IND085-000014,2024-01-04,M2,dia,616,17,6.8,53.9,4.26,0,0,0
IND085-000015,2024-01-04,M3,dia,421,11,3.4,1.6,2.63,0,1,1821.09
IND085-000016,2024-01-04,M4,dia,359,11,4.9,36.8,1.48,0,0,0
IND085-000017,2024-01-04,M5,dia,394,6,5.6,4.9,4.28,0,0,0
IND085-000018,2024-01-05,M6,dia,92,4,4.6,27.9,3.58,0,0,0
IND085-000019,2024-01-05,M1,noche,198,2,7.6,14.0,2.86,0,0,0
IND085-000020,2024-01-05,M2,noche,776,18,5.4,6.3,1.88,0,0,0
IND085-000021,2024-01-05,M3,noche,636,14,3.4,8.3,5.23,0,1,665.36
IND085-000022,2024-01-06,M4,noche,409,14,5.7,19.1,2.49,0,0,0
IND085-000023,2024-01-06,M5,noche,420,9,5.4,6.4,2.82,1,0,0
IND085-000024,2024-01-06,M6,noche,177,7,7.2,16.7,5.21,0,0,0
