registro_id,fecha,cliente,plan,zona,antiguedad_meses,consumo_gb,incidencias,baja_30d,motivo_baja
TEL088-000001,2024-01-01,C0001,esencial,norte,7,10.77,0,0,
TEL088-000002,2024-01-01,C0002,plus,norte,8,28.0,0,0,
TEL088-000003,2024-01-01,C0003,total,sur,31,44.55,0,0,
TEL088-000004,2024-01-01,C0004,esencial,norte,80,8.46,0,0,
TEL088-000005,2024-01-01,C0005,plus,sur,17,24.89,0,0,
TEL088-000006,2024-01-01,C0006,total,norte,2,57.63,0,0,
TEL088-000007,2024-01-01,C0007,esencial,centro,75,10.56,1,0,
TEL088-000008,2024-01-01,C0008,plus,norte,70,26.95,2,0,
TEL088-000009,2024-01-01,C0009,total,sur,43,43.85,1,0,
TEL088-000010,2024-01-01,C0010,esencial,sur,87,13.22,1,0,
TEL088-000011,2024-01-01,C0011,plus,norte,89,34.63,0,0,
TEL088-000012,2024-01-01,C0012,total,sur,12,57.82,2,0,
TEL088-000013,2024-01-01,C0013,esencial,norte,5,0,2,0,
TEL088-000014,2024-01-01,C0014,plus,centro,70,19.84,0,0,
TEL088-000015,2024-01-01,C0015,total,centro,90,44.99,0,1,servicio
TEL088-000016,2024-01-01,C0016,esencial,sur,51,14.11,0,0,
TEL088-000017,2024-01-01,C0017,plus,sur,60,23.86,0,0,
TEL088-000018,2024-01-01,C0018,total,sur,14,40.33,1,0,
TEL088-000019,2024-01-01,C0019,esencial,norte,35,11.4,0,0,
TEL088-000020,2024-01-01,C0020,plus,sur,73,35.53,1,0,
TEL088-000021,2024-01-01,C0021,total,sur,13,44.96,0,0,
TEL088-000022,2024-01-01,C0022,esencial,centro,90,23.65,0,0,
TEL088-000023,2024-01-01,C0023,plus,centro,50,38.76,0,1,precio
TEL088-000024,2024-01-01,C0024,total,sur,89,39.76,2,0,
TEL088-000025,2024-01-01,C0025,esencial,centro,29,8.14,2,0,
TEL088-000026,2024-01-01,C0026,plus,sur,56,29.36,0,0,
TEL088-000027,2024-01-01,C0027,total,centro,13,37.04,0,0,
TEL088-000028,2024-01-01,C0028,esencial,norte,50,20.33,1,0,
TEL088-000029,2024-01-01,C0029,plus,centro,37,45.73,0,0,
TEL088-000030,2024-01-01,C0030,total,norte,42,40.77,4,0,
TEL088-000031,2024-01-01,C0031,esencial,centro,10,28.96,0,0,
TEL088-000032,2024-01-01,C0032,plus,norte,32,43.67,0,0,
TEL088-000033,2024-01-01,C0033,total,sur,89,44.55,1,0,
TEL088-000034,2024-01-01,C0034,esencial,norte,69,0,0,0,
TEL088-000035,2024-01-01,C0035,plus,sur,81,31.39,1,0,
TEL088-000036,2024-01-01,C0036,total,norte,51,42.43,0,0,
TEL088-000037,2024-01-01,C0037,esencial,norte,33,6.78,1,0,
TEL088-000038,2024-01-01,C0038,plus,centro,37,29.42,0,0,
TEL088-000039,2024-01-01,C0039,total,norte,81,60.98,2,0,
TEL088-000040,2024-01-01,C0040,esencial,norte,74,9.43,3,1,servicio
TEL088-000041,2024-01-01,C0041,plus,norte,73,4.08,0,0,
TEL088-000042,2024-01-01,C0042,total,norte,22,55.59,1,0,
TEL088-000043,2024-01-01,C0043,esencial,centro,7,2.84,1,0,
TEL088-000044,2024-01-01,C0044,plus,centro,90,26.53,2,0,
TEL088-000045,2024-01-01,C0045,total,norte,52,45.93,0,0,
TEL088-000046,2024-01-01,C0046,esencial,norte,13,2.22,2,1,precio
TEL088-000047,2024-01-01,C0047,plus,centro,62,25.43,0,0,
TEL088-000048,2024-01-01,C0048,total,sur,62,44.86,3,0,
TEL088-000049,2024-01-01,C0049,esencial,centro,86,12.12,3,1,precio
TEL088-000050,2024-01-01,C0050,plus,norte,34,37.92,0,0,
