devolucion_id,registro_id,fecha,unidades_devueltas
D000001,CAJ090-000020,2024-01-16,1
D000002,CAJ090-000039,2024-01-19,3
D000003,CAJ090-000058,2024-01-22,1
D000004,CAJ090-000096,2024-01-28,4
D000005,CAJ090-000115,2024-01-31,2
D000006,CAJ090-000134,2024-02-03,1
D000007,CAJ090-000153,2024-02-06,4
D000008,CAJ090-000191,2024-02-12,2
D000009,CAJ090-000210,2024-02-15,1
D000010,CAJ090-000229,2024-02-19,3
D000011,CAJ090-000248,2024-02-22,4
D000012,CAJ090-000267,2024-02-25,4
D000013,CAJ090-000286,2024-02-28,1
D000014,CAJ090-000305,2024-03-02,4
D000015,CAJ090-000324,2024-03-05,3
D000016,CAJ090-000343,2024-03-08,3
D000017,CAJ090-000362,2024-03-11,1
D000018,CAJ090-000400,2024-03-17,1
D000019,CAJ090-000419,2024-03-20,2
D000020,CAJ090-000438,2024-03-23,4
D000021,CAJ090-000457,2024-03-27,4
D000022,CAJ090-000476,2024-03-30,2
D000023,CAJ090-000495,2024-04-02,1
D000024,CAJ090-000514,2024-04-05,1
D000025,CAJ090-000533,2024-04-08,1
D000026,CAJ090-000552,2024-04-11,4
D000027,CAJ090-000571,2024-04-14,1
D000028,CAJ090-000590,2024-04-17,4
D000029,CAJ090-000609,2024-04-20,4
D000030,CAJ090-000628,2024-04-23,1
D000031,CAJ090-000647,2024-04-26,4
D000032,CAJ090-000666,2024-04-30,1
D000033,CAJ090-000685,2024-05-03,1
D000034,CAJ090-000704,2024-05-06,3
D000035,CAJ090-000742,2024-05-12,2
D000036,CAJ090-000761,2024-05-15,2
D000037,CAJ090-000780,2024-05-18,4
D000038,CAJ090-000799,2024-05-21,4
D000039,CAJ090-000818,2024-05-24,3
D000040,CAJ090-000837,2024-05-27,2
D000041,CAJ090-000856,2024-05-30,4
D000042,CAJ090-000875,2024-06-02,4
D000043,CAJ090-000894,2024-06-06,4
D000044,CAJ090-000913,2024-06-09,1
D000045,CAJ090-000932,2024-06-12,3
D000046,CAJ090-000951,2024-06-15,3
D000047,CAJ090-000970,2024-06-18,1
D000048,CAJ090-000989,2024-06-21,1
D000049,CAJ090-001008,2024-06-24,1
D000050,CAJ090-001027,2024-06-27,2
D000051,CAJ090-001046,2024-06-30,1
D000052,CAJ090-001065,2024-07-03,2
D000053,CAJ090-001084,2024-07-06,4
D000054,CAJ090-001103,2024-07-10,1
D000055,CAJ090-001122,2024-07-13,1
D000056,CAJ090-001141,2024-07-16,4
D000057,CAJ090-001160,2024-07-19,4
D000058,CAJ090-001179,2024-07-22,1
D000059,CAJ090-001198,2024-07-25,1
D000060,CAJ090-001217,2024-07-28,3
D000061,CAJ090-001236,2024-07-31,1
D000062,CAJ090-001255,2024-08-03,1
D000063,CAJ090-001274,2024-08-06,2
D000064,CAJ090-001293,2024-08-09,2
D000065,CAJ090-001312,2024-08-12,3
D000066,CAJ090-001331,2024-08-16,4
D000067,CAJ090-001350,2024-08-19,4
D000068,CAJ090-001369,2024-08-22,1
D000069,CAJ090-001407,2024-08-28,1
D000070,CAJ090-001426,2024-08-31,3
D000071,CAJ090-001445,2024-09-03,3
D000072,CAJ090-001464,2024-09-06,1
D000073,CAJ090-001502,2024-09-12,3
