evento_id,registro_id,fecha_evento,estado_evento
EV000001,SOP091-000001,2024-01-01,abierto
EV000002,SOP091-000001,2024-01-02,cerrado
EV000003,SOP091-000002,2024-01-01,abierto
EV000004,SOP091-000002,2024-01-02,cerrado
EV000005,SOP091-000003,2024-01-01,abierto
EV000006,SOP091-000004,2024-01-01,abierto
EV000007,SOP091-000004,2024-01-02,cerrado
EV000008,SOP091-000005,2024-01-01,abierto
EV000009,SOP091-000006,2024-01-01,abierto
EV000010,SOP091-000006,2024-01-02,cerrado
EV000011,SOP091-000007,2024-01-01,abierto
EV000012,SOP091-000007,2024-01-03,cerrado
EV000013,SOP091-000008,2024-01-02,abierto
EV000014,SOP091-000008,2024-01-03,cerrado
EV000015,SOP091-000009,2024-01-02,abierto
EV000016,SOP091-000009,2024-01-03,cerrado
EV000017,SOP091-000010,2024-01-02,abierto
EV000018,SOP091-000010,2024-01-03,cerrado
EV000019,SOP091-000011,2024-01-02,abierto
EV000020,SOP091-000012,2024-01-02,abierto
EV000021,SOP091-000012,2024-01-03,cerrado
EV000022,SOP091-000013,2024-01-02,abierto
EV000023,SOP091-000013,2024-01-03,cerrado
EV000024,SOP091-000014,2024-01-03,abierto
EV000025,SOP091-000014,2024-01-04,cerrado
EV000026,SOP091-000014,2024-01-05,abierto
EV000027,SOP091-000014,2024-01-07,cerrado
EV000028,SOP091-000015,2024-01-03,abierto
EV000029,SOP091-000015,2024-01-06,cerrado
EV000030,SOP091-000016,2024-01-03,abierto
EV000031,SOP091-000016,2024-01-04,cerrado
EV000032,SOP091-000017,2024-01-03,abierto
EV000033,SOP091-000017,2024-01-04,cerrado
EV000034,SOP091-000018,2024-01-03,abierto
EV000035,SOP091-000018,2024-01-06,cerrado
EV000036,SOP091-000019,2024-01-03,abierto
EV000037,SOP091-000019,2024-01-04,cerrado
EV000038,SOP091-000020,2024-01-04,abierto
EV000039,SOP091-000020,2024-01-05,cerrado
EV000040,SOP091-000021,2024-01-04,abierto
EV000041,SOP091-000021,2024-01-05,cerrado
EV000042,SOP091-000022,2024-01-04,abierto
EV000043,SOP091-000022,2024-01-05,cerrado
EV000044,SOP091-000023,2024-01-04,abierto
EV000045,SOP091-000023,2024-01-05,cerrado
EV000046,SOP091-000024,2024-01-04,abierto
EV000047,SOP091-000024,2024-01-05,cerrado
EV000048,SOP091-000025,2024-01-04,abierto
EV000049,SOP091-000025,2024-01-05,cerrado
EV000050,SOP091-000026,2024-01-05,abierto
EV000051,SOP091-000026,2024-01-07,cerrado
EV000052,SOP091-000027,2024-01-05,abierto
EV000053,SOP091-000027,2024-01-06,cerrado
EV000054,SOP091-000028,2024-01-05,abierto
EV000055,SOP091-000028,2024-01-06,cerrado
EV000056,SOP091-000029,2024-01-05,abierto
EV000057,SOP091-000029,2024-01-06,cerrado
EV000058,SOP091-000030,2024-01-05,abierto
EV000059,SOP091-000030,2024-01-06,cerrado
EV000060,SOP091-000031,2024-01-05,abierto
EV000061,SOP091-000031,2024-01-06,cerrado
EV000062,SOP091-000031,2024-01-07,abierto
EV000063,SOP091-000031,2024-01-09,cerrado
EV000064,SOP091-000032,2024-01-06,abierto
EV000065,SOP091-000032,2024-01-07,cerrado
EV000066,SOP091-000033,2024-01-06,abierto
