pedido_id,producto,almacen,fecha_pedido,unidades_pedidas,demora_dias
OC0001,P01,A1,2024-01-01,24,3
OC0002,P02,A2,2024-01-03,36,4
OC0003,P03,A3,2024-01-05,48,5
OC0004,P04,A1,2024-01-07,60,6
OC0005,P05,A2,2024-01-09,24,7
OC0006,P06,A3,2024-01-11,36,8
OC0007,P07,A1,2024-01-13,48,9
OC0008,P08,A2,2024-01-15,60,10
OC0009,P09,A3,2024-01-17,24,11
OC0010,P10,A1,2024-01-19,36,12
OC0011,P11,A2,2024-01-21,48,13
OC0012,P12,A3,2024-01-23,60,14
OC0013,P01,A1,2024-01-25,24,15
OC0014,P02,A2,2024-01-27,36,16
OC0015,P03,A3,2024-01-29,48,3
OC0016,P04,A1,2024-01-31,60,4
OC0017,P05,A2,2024-02-02,24,5
OC0018,P06,A3,2024-02-04,36,6
OC0019,P07,A1,2024-02-06,48,7
OC0020,P08,A2,2024-02-08,60,8
OC0021,P09,A3,2024-02-10,24,9
OC0022,P10,A1,2024-02-12,36,10
OC0023,P11,A2,2024-02-14,48,11
OC0024,P12,A3,2024-02-16,60,12
OC0025,P01,A1,2024-02-18,24,13
OC0026,P02,A2,2024-02-20,36,14
OC0027,P03,A3,2024-02-22,48,15
OC0028,P04,A1,2024-02-24,60,16
OC0029,P05,A2,2024-02-26,24,3
OC0030,P06,A3,2024-02-28,36,4
OC0031,P07,A1,2024-03-01,48,5
OC0032,P08,A2,2024-03-03,60,6
OC0033,P09,A3,2024-03-05,24,7
OC0034,P10,A1,2024-03-07,36,8
OC0035,P11,A2,2024-03-09,48,9
OC0036,P12,A3,2024-03-11,60,10
OC0037,P01,A1,2024-03-13,24,11
OC0038,P02,A2,2024-03-15,36,12
OC0039,P03,A3,2024-03-17,48,13
OC0040,P04,A1,2024-03-19,60,14
OC0041,P05,A2,2024-03-21,24,15
OC0042,P06,A3,2024-03-23,36,16
OC0043,P07,A1,2024-03-25,48,3
OC0044,P08,A2,2024-03-27,60,4
OC0045,P09,A3,2024-03-29,24,5
OC0046,P10,A1,2024-03-31,36,6
OC0047,P11,A2,2024-04-02,48,7
OC0048,P12,A3,2024-04-04,60,8
OC0049,P01,A1,2024-04-06,24,9
OC0050,P02,A2,2024-04-08,36,10
OC0051,P03,A3,2024-04-10,48,11
OC0052,P04,A1,2024-04-12,60,12
OC0053,P05,A2,2024-04-14,24,13
OC0054,P06,A3,2024-04-16,36,14
OC0055,P07,A1,2024-04-18,48,15
OC0056,P08,A2,2024-04-20,60,16
OC0057,P09,A3,2024-04-22,24,3
OC0058,P10,A1,2024-04-24,36,4
OC0059,P11,A2,2024-04-26,48,5
OC0060,P12,A3,2024-04-28,60,6
OC0061,P01,A1,2024-04-30,24,7
OC0062,P02,A2,2024-05-02,36,8
OC0063,P03,A3,2024-05-04,48,9
OC0064,P04,A1,2024-05-06,60,10
OC0065,P05,A2,2024-05-08,24,11
OC0066,P06,A3,2024-05-10,36,12
OC0067,P07,A1,2024-05-12,48,13
OC0068,P08,A2,2024-05-14,60,14
OC0069,P09,A3,2024-05-16,24,15
OC0070,P10,A1,2024-05-18,36,16
OC0071,P11,A2,2024-05-20,48,3
OC0072,P12,A3,2024-05-22,60,4
OC0073,P01,A1,2024-05-24,24,5
OC0074,P02,A2,2024-05-26,36,6
OC0075,P03,A3,2024-05-28,48,7
OC0076,P04,A1,2024-05-30,60,8
OC0077,P05,A2,2024-06-01,24,9
OC0078,P06,A3,2024-06-03,36,10
OC0079,P07,A1,2024-06-05,48,11
OC0080,P08,A2,2024-06-07,60,12
OC0081,P09,A3,2024-06-09,24,13
OC0082,P10,A1,2024-06-11,36,14
OC0083,P11,A2,2024-06-13,48,15
OC0084,P12,A3,2024-06-15,60,16
OC0085,P01,A1,2024-06-17,24,3
OC0086,P02,A2,2024-06-19,36,4
OC0087,P03,A3,2024-06-21,48,5
OC0088,P04,A1,2024-06-23,60,6
OC0089,P05,A2,2024-06-25,24,7
OC0090,P06,A3,2024-06-27,36,8
OC0091,P07,A1,2024-06-29,48,9
OC0092,P08,A2,2024-07-01,60,10
OC0093,P09,A3,2024-07-03,24,11
OC0094,P10,A1,2024-07-05,36,12
OC0095,P11,A2,2024-07-07,48,13
OC0096,P12,A3,2024-07-09,60,14
OC0097,P01,A1,2024-07-11,24,15
OC0098,P02,A2,2024-07-13,36,16
OC0099,P03,A3,2024-07-15,48,3
OC0100,P04,A1,2024-07-17,60,4
OC0101,P05,A2,2024-07-19,24,5
OC0102,P06,A3,2024-07-21,36,6
OC0103,P07,A1,2024-07-23,48,7
OC0104,P08,A2,2024-07-25,60,8
OC0105,P09,A3,2024-07-27,24,9
OC0106,P10,A1,2024-07-29,36,10
OC0107,P11,A2,2024-07-31,48,11
OC0108,P12,A3,2024-08-02,60,12
OC0109,P01,A1,2024-08-04,24,13
OC0110,P02,A2,2024-08-06,36,14
OC0111,P03,A3,2024-08-08,48,15
OC0112,P04,A1,2024-08-10,60,16
OC0113,P05,A2,2024-08-12,24,3
OC0114,P06,A3,2024-08-14,36,4
OC0115,P07,A1,2024-08-16,48,5
OC0116,P08,A2,2024-08-18,60,6
OC0117,P09,A3,2024-08-20,24,7
OC0118,P10,A1,2024-08-22,36,8
OC0119,P11,A2,2024-08-24,48,9
OC0120,P12,A3,2024-08-26,60,10
OC0121,P01,A1,2024-08-28,24,11
OC0122,P02,A2,2024-08-30,36,12
OC0123,P03,A3,2024-09-01,48,13
OC0124,P04,A1,2024-09-03,60,14
OC0125,P05,A2,2024-09-05,24,15
OC0126,P06,A3,2024-09-07,36,16
OC0127,P07,A1,2024-09-09,48,3
OC0128,P08,A2,2024-09-11,60,4
OC0129,P09,A3,2024-09-13,24,5
OC0130,P10,A1,2024-09-15,36,6
OC0131,P11,A2,2024-09-17,48,7
OC0132,P12,A3,2024-09-19,60,8
OC0133,P01,A1,2024-09-21,24,9
OC0134,P02,A2,2024-09-23,36,10
OC0135,P03,A3,2024-09-25,48,11
OC0136,P04,A1,2024-09-27,60,12
OC0137,P05,A2,2024-09-29,24,13
OC0138,P06,A3,2024-10-01,36,14
OC0139,P07,A1,2024-10-03,48,15
OC0140,P08,A2,2024-10-05,60,16
OC0141,P09,A3,2024-10-07,24,3
OC0142,P10,A1,2024-10-09,36,4
OC0143,P11,A2,2024-10-11,48,5
OC0144,P12,A3,2024-10-13,60,6
OC0145,P01,A1,2024-10-15,24,7
OC0146,P02,A2,2024-10-17,36,8
OC0147,P03,A3,2024-10-19,48,9
OC0148,P04,A1,2024-10-21,60,10
OC0149,P05,A2,2024-10-23,24,11
OC0150,P06,A3,2024-10-25,36,12
OC0151,P07,A1,2024-10-27,48,13
OC0152,P08,A2,2024-10-29,60,14
OC0153,P09,A3,2024-10-31,24,15
OC0154,P10,A1,2024-11-02,36,16
OC0155,P11,A2,2024-11-04,48,3
OC0156,P12,A3,2024-11-06,60,4
OC0157,P01,A1,2024-11-08,24,5
OC0158,P02,A2,2024-11-10,36,6
OC0159,P03,A3,2024-11-12,48,7
OC0160,P04,A1,2024-11-14,60,8
OC0161,P05,A2,2024-11-16,24,9
OC0162,P06,A3,2024-11-18,36,10
OC0163,P07,A1,2024-11-20,48,11
OC0164,P08,A2,2024-11-22,60,12
OC0165,P09,A3,2024-11-24,24,13
OC0166,P10,A1,2024-11-26,36,14
OC0167,P11,A2,2024-11-28,48,15
OC0168,P12,A3,2024-11-30,60,16
OC0169,P01,A1,2024-12-02,24,3
OC0170,P02,A2,2024-12-04,36,4
OC0171,P03,A3,2024-12-06,48,5
OC0172,P04,A1,2024-12-08,60,6
OC0173,P05,A2,2024-12-10,24,7
OC0174,P06,A3,2024-12-12,36,8
OC0175,P07,A1,2024-12-14,48,9
OC0176,P08,A2,2024-12-16,60,10
OC0177,P09,A3,2024-12-18,24,11
OC0178,P10,A1,2024-12-20,36,12
OC0179,P11,A2,2024-12-22,48,13
OC0180,P12,A3,2024-12-24,60,14
OC0181,P01,A1,2024-12-26,24,15
OC0182,P02,A2,2024-12-28,36,16
OC0183,P03,A3,2024-12-30,48,3
OC0184,P04,A1,2025-01-01,60,4
OC0185,P05,A2,2025-01-03,24,5
OC0186,P06,A3,2025-01-05,36,6
OC0187,P07,A1,2025-01-07,48,7
OC0188,P08,A2,2025-01-09,60,8
OC0189,P09,A3,2025-01-11,24,9
OC0190,P10,A1,2025-01-13,36,10
OC0191,P11,A2,2025-01-15,48,11
OC0192,P12,A3,2025-01-17,60,12
OC0193,P01,A1,2025-01-19,24,13
OC0194,P02,A2,2025-01-21,36,14
OC0195,P03,A3,2025-01-23,48,15
OC0196,P04,A1,2025-01-25,60,16
OC0197,P05,A2,2025-01-27,24,3
OC0198,P06,A3,2025-01-29,36,4
OC0199,P07,A1,2025-01-31,48,5
OC0200,P08,A2,2025-02-02,60,6
OC0201,P09,A3,2025-02-04,24,7
OC0202,P10,A1,2025-02-06,36,8
OC0203,P11,A2,2025-02-08,48,9
OC0204,P12,A3,2025-02-10,60,10
OC0205,P01,A1,2025-02-12,24,11
OC0206,P02,A2,2025-02-14,36,12
OC0207,P03,A3,2025-02-16,48,13
OC0208,P04,A1,2025-02-18,60,14
OC0209,P05,A2,2025-02-20,24,15
OC0210,P06,A3,2025-02-22,36,16
OC0211,P07,A1,2025-02-24,48,3
OC0212,P08,A2,2025-02-26,60,4
OC0213,P09,A3,2025-02-28,24,5
OC0214,P10,A1,2025-03-02,36,6
OC0215,P11,A2,2025-03-04,48,7
OC0216,P12,A3,2025-03-06,60,8
OC0217,P01,A1,2025-03-08,24,9
OC0218,P02,A2,2025-03-10,36,10
OC0219,P03,A3,2025-03-12,48,11
OC0220,P04,A1,2025-03-14,60,12
OC0221,P05,A2,2025-03-16,24,13
OC0222,P06,A3,2025-03-18,36,14
OC0223,P07,A1,2025-03-20,48,15
OC0224,P08,A2,2025-03-22,60,16
OC0225,P09,A3,2025-03-24,24,3
OC0226,P10,A1,2025-03-26,36,4
OC0227,P11,A2,2025-03-28,48,5
OC0228,P12,A3,2025-03-30,60,6
OC0229,P01,A1,2025-04-01,24,7
OC0230,P02,A2,2025-04-03,36,8
OC0231,P03,A3,2025-04-05,48,9
OC0232,P04,A1,2025-04-07,60,10
OC0233,P05,A2,2025-04-09,24,11
OC0234,P06,A3,2025-04-11,36,12
OC0235,P07,A1,2025-04-13,48,13
OC0236,P08,A2,2025-04-15,60,14
OC0237,P09,A3,2025-04-17,24,15
OC0238,P10,A1,2025-04-19,36,16
OC0239,P11,A2,2025-04-21,48,3
OC0240,P12,A3,2025-04-23,60,4
OC0241,P01,A1,2025-04-25,24,5
OC0242,P02,A2,2025-04-27,36,6
OC0243,P03,A3,2025-04-29,48,7
OC0244,P04,A1,2025-05-01,60,8
OC0245,P05,A2,2025-05-03,24,9
OC0246,P06,A3,2025-05-05,36,10
OC0247,P07,A1,2025-05-07,48,11
OC0248,P08,A2,2025-05-09,60,12
OC0249,P09,A3,2025-05-11,24,13
OC0250,P10,A1,2025-05-13,36,14
OC0251,P11,A2,2025-05-15,48,15
OC0252,P12,A3,2025-05-17,60,16
OC0253,P01,A1,2025-05-19,24,3
OC0254,P02,A2,2025-05-21,36,4
OC0255,P03,A3,2025-05-23,48,5
OC0256,P04,A1,2025-05-25,60,6
OC0257,P05,A2,2025-05-27,24,7
OC0258,P06,A3,2025-05-29,36,8
OC0259,P07,A1,2025-05-31,48,9
OC0260,P08,A2,2025-06-02,60,10
OC0261,P09,A3,2025-06-04,24,11
OC0262,P10,A1,2025-06-06,36,12
OC0263,P11,A2,2025-06-08,48,13
OC0264,P12,A3,2025-06-10,60,14
OC0265,P01,A1,2025-06-12,24,15
OC0266,P02,A2,2025-06-14,36,16
OC0267,P03,A3,2025-06-16,48,3
OC0268,P04,A1,2025-06-18,60,4
OC0269,P05,A2,2025-06-20,24,5
OC0270,P06,A3,2025-06-22,36,6
