registro_id,fecha,almacen,producto,saldo,demanda,reposicion,plazo_dias,coste_unitario
STO093-000001,2024-01-01,A1,P01,61,20,0,3,4.0
STO093-000002,2024-01-01,A2,P01,5,12,0,3,4.0
STO093-000003,2024-01-01,A3,P01,54,7,24,3,4.0
STO093-000004,2024-01-01,A1,P02,50,10,0,4,6.2
STO093-000005,2024-01-01,A2,P02,7,18,0,4,6.2
STO093-000006,2024-01-01,A3,P02,70,7,0,4,6.2
STO093-000007,2024-01-01,A1,P03,8,28,12,5,8.4
STO093-000008,2024-01-02,A2,P03,30,21,12,5,8.4
STO093-000009,2024-01-02,A3,P03,3,13,0,5,8.4
STO093-000010,2024-01-02,A1,P04,0,15,24,6,10.6
STO093-000011,2024-01-02,A2,P04,57,3,24,6,10.6
STO093-000012,2024-01-02,A3,P04,7,26,0,6,10.6
STO093-000013,2024-01-02,A1,P05,68,16,0,7,12.8
STO093-000014,2024-01-03,A2,P05,56,3,0,7,12.8
STO093-000015,2024-01-03,A3,P05,23,10,12,7,12.8
STO093-000016,2024-01-03,A1,P06,31,21,24,8,15.0
STO093-000017,2024-01-03,A2,P06,17,33,0,8,15.0
STO093-000018,2024-01-03,A3,P06,39,34,0,8,15.0
STO093-000019,2024-01-03,A1,P07,45,30,0,9,17.2
STO093-000020,2024-01-04,A2,P07,52,23,24,9,17.2
STO093-000021,2024-01-04,A3,P07,26,20,0,9,17.2
STO093-000022,2024-01-04,A1,P08,38,22,0,3,19.4
STO093-000023,2024-01-04,A2,P08,56,22,24,3,19.4
STO093-000024,2024-01-04,A3,P08,34,33,0,3,19.4
STO093-000025,2024-01-04,A1,P09,23,23,24,4,21.6
STO093-000026,2024-01-05,A2,P09,1,7,24,4,21.6
STO093-000027,2024-01-05,A3,P09,50,20,24,4,21.6
STO093-000028,2024-01-05,A1,P10,14,22,0,5,23.8
STO093-000029,2024-01-05,A2,P10,44,37,0,5,23.8
STO093-000030,2024-01-05,A3,P10,4,35,0,5,23.8
STO093-000031,2024-01-05,A1,P11,2,8,0,6,26.0
STO093-000032,2024-01-06,A2,P11,64,16,0,6,26.0
STO093-000033,2024-01-06,A3,P11,10,23,0,6,26.0
STO093-000034,2024-01-06,A1,P12,37,33,0,7,28.2
STO093-000035,2024-01-06,A2,P12,39,20,24,7,28.2
STO093-000036,2024-01-06,A3,P12,41,24,24,7,28.2
STO093-000037,2024-01-06,A1,P01,47,26,12,3,4.0
STO093-000038,2024-01-07,A2,P01,37,19,0,3,4.0
STO093-000039,2024-01-07,A3,P01,18,24,0,3,4.0
STO093-000040,2024-01-07,A1,P02,20,1,24,4,6.2
STO093-000041,2024-01-07,A2,P02,67,31,0,4,6.2
STO093-000042,2024-01-07,A3,P02,18,21,24,4,6.2
STO093-000043,2024-01-07,A1,P03,7,15,0,5,8.4
STO093-000044,2024-01-07,A2,P03,22,10,24,5,8.4
STO093-000045,2024-01-08,A3,P03,53,12,0,5,8.4
STO093-000046,2024-01-08,A1,P04,50,24,12,6,10.6
STO093-000047,2024-01-08,A2,P04,67,31,0,6,10.6
STO093-000048,2024-01-08,A3,P04,8,30,24,6,10.6
STO093-000049,2024-01-08,A1,P05,65,25,0,7,12.8
STO093-000050,2024-01-08,A2,P05,48,18,0,7,12.8
STO093-000051,2024-01-09,A3,P05,39,20,24,7,12.8
STO093-000052,2024-01-09,A1,P06,25,22,0,8,15.0
STO093-000053,2024-01-09,A2,P06,15,28,12,8,15.0
STO093-000054,2024-01-09,A3,P06,37,11,0,8,15.0
STO093-000055,2024-01-09,A1,P07,28,30,0,9,17.2
STO093-000056,2024-01-09,A2,P07,10,24,0,9,17.2
STO093-000057,2024-01-10,A3,P07,39,8,0,9,17.2
STO093-000058,2024-01-10,A1,P08,7,19,24,3,19.4
STO093-000059,2024-01-10,A2,P08,39,38,0,3,19.4
STO093-000060,2024-01-10,A3,P08,33,26,0,3,19.4
STO093-000061,2024-01-10,A1,P09,60,26,24,4,21.6
STO093-000062,2024-01-10,A2,P09,47,19,0,4,21.6
STO093-000063,2024-01-11,A3,P09,45,33,12,4,21.6
STO093-000064,2024-01-11,A1,P10,49,22,0,5,23.8
STO093-000065,2024-01-11,A2,P10,40,22,24,5,23.8
STO093-000066,2024-01-11,A3,P10,20,32,12,5,23.8
STO093-000067,2024-01-11,A1,P11,23,9,24,6,26.0
STO093-000068,2024-01-11,A2,P11,30,16,0,6,26.0
STO093-000069,2024-01-12,A3,P11,29,35,0,6,26.0
STO093-000070,2024-01-12,A1,P12,41,12,0,7,28.2
STO093-000071,2024-01-12,A2,P12,39,22,0,7,28.2
STO093-000072,2024-01-12,A3,P12,45,18,12,7,28.2
STO093-000073,2024-01-12,A1,P01,23,28,0,3,4.0
STO093-000074,2024-01-12,A2,P01,21,19,24,3,4.0
STO093-000075,2024-01-13,A3,P01,45,16,24,3,4.0
STO093-000076,2024-01-13,A1,P02,50,15,0,4,6.2
STO093-000077,2024-01-13,A2,P02,48,28,0,4,6.2
STO093-000078,2024-01-13,A3,P02,10,3,24,4,6.2
STO093-000079,2024-01-13,A1,P03,30,25,24,5,8.4
STO093-000080,2024-01-13,A2,P03,70,12,0,5,8.4
STO093-000081,2024-01-13,A3,P03,57,15,0,5,8.4
STO093-000082,2024-01-14,A1,P04,70,23,0,6,10.6
STO093-000083,2024-01-14,A2,P04,49,20,0,6,10.6
STO093-000084,2024-01-14,A3,P04,,10,0,6,10.6
STO093-000085,2024-01-14,A1,P05,26,24,0,7,12.8
STO093-000086,2024-01-14,A2,P05,5,11,0,7,12.8
STO093-000087,2024-01-14,A3,P05,23,32,0,7,12.8
STO093-000088,2024-01-15,A1,P06,63,0,0,8,15.0
STO093-000089,2024-01-15,A2,P06,67,37,0,8,15.0
