intervencion_id,maquina,fecha,tipo,coste_pen
I000001,M2,2023-12-30,preventivo,180
I000002,M4,2023-12-31,preventivo,180
I000003,M6,2023-12-31,preventivo,180
I000004,M1,2023-12-31,preventivo,180
I000005,M3,2024-01-02,preventivo,180
I000006,M4,2024-01-02,preventivo,180
I000007,M3,2024-01-05,preventivo,180
I000008,M6,2024-01-05,preventivo,180
I000009,M5,2024-01-07,preventivo,180
I000010,M6,2024-01-07,preventivo,180
I000011,M2,2024-01-08,preventivo,180
I000012,M6,2024-01-09,preventivo,180
I000013,M4,2024-01-10,preventivo,180
I000014,M1,2024-01-13,preventivo,180
I000015,M2,2024-01-13,preventivo,180
I000016,M1,2024-01-15,preventivo,180
I000017,M6,2024-01-17,preventivo,180
I000018,M5,2024-01-18,preventivo,180
I000019,M6,2024-01-18,preventivo,180
I000020,M1,2024-01-18,preventivo,180
I000021,M3,2024-01-18,preventivo,180
I000022,M2,2024-01-19,preventivo,180
I000023,M2,2024-01-20,preventivo,180
I000024,M3,2024-01-20,preventivo,180
I000025,M5,2024-01-21,preventivo,180
I000026,M6,2024-01-21,preventivo,180
I000027,M1,2024-01-21,preventivo,180
I000028,M6,2024-01-22,preventivo,180
I000029,M3,2024-01-22,preventivo,180
I000030,M5,2024-01-23,preventivo,180
I000031,M6,2024-01-23,preventivo,180
I000032,M1,2024-01-23,preventivo,180
I000033,M2,2024-01-23,preventivo,180
I000034,M4,2024-01-23,preventivo,180
I000035,M6,2024-01-24,preventivo,180
I000036,M1,2024-01-24,preventivo,180
I000037,M6,2024-01-25,preventivo,180
I000038,M3,2024-01-25,preventivo,180
I000039,M5,2024-01-25,preventivo,180
I000040,M6,2024-01-28,preventivo,180
I000041,M5,2024-01-28,preventivo,180
I000042,M6,2024-01-31,preventivo,180
I000043,M1,2024-01-31,preventivo,180
I000044,M2,2024-01-31,preventivo,180
I000045,M5,2024-02-01,preventivo,180
I000046,M6,2024-02-01,preventivo,180
I000047,M2,2024-02-03,preventivo,180
I000048,M4,2024-02-03,preventivo,180
I000049,M2,2024-02-06,preventivo,180
I000050,M3,2024-02-06,preventivo,180
I000051,M5,2024-02-06,preventivo,180
I000052,M2,2024-02-07,preventivo,180
I000053,M4,2024-02-07,preventivo,180
I000054,M3,2024-02-08,preventivo,180
I000055,M3,2024-02-10,preventivo,180
I000056,M6,2024-02-10,preventivo,180
I000057,M1,2024-02-11,preventivo,180
I000058,M3,2024-02-12,preventivo,180
I000059,M1,2024-02-12,preventivo,180
I000060,M2,2024-02-14,preventivo,180
I000061,M3,2024-02-15,preventivo,180
I000062,M1,2024-02-15,preventivo,180
I000063,M1,2024-02-18,preventivo,180
I000064,M5,2024-02-19,preventivo,180
I000065,M3,2024-02-19,preventivo,180
I000066,M5,2024-02-20,preventivo,180
I000067,M6,2024-02-21,preventivo,180
I000068,M4,2024-02-22,preventivo,180
I000069,M3,2024-02-24,preventivo,180
I000070,M2,2024-02-26,preventivo,180
I000071,M5,2024-02-27,preventivo,180
I000072,M6,2024-03-01,preventivo,180
I000073,M2,2024-03-01,preventivo,180
I000074,M3,2024-03-01,preventivo,180
I000075,M4,2024-03-02,preventivo,180
I000076,M5,2024-03-04,preventivo,180
I000077,M1,2024-03-05,preventivo,180
I000078,M2,2024-03-06,preventivo,180
I000079,M3,2024-03-07,preventivo,180
I000080,M3,2024-03-09,preventivo,180
I000081,M4,2024-03-10,preventivo,180
I000082,M5,2024-03-10,preventivo,180
I000083,M3,2024-03-11,preventivo,180
I000084,M2,2024-03-14,preventivo,180
I000085,M6,2024-03-14,preventivo,180
I000086,M2,2024-03-15,preventivo,180
I000087,M6,2024-03-15,preventivo,180
I000088,M3,2024-03-16,preventivo,180
I000089,M4,2024-03-16,preventivo,180
I000090,M6,2024-03-16,preventivo,180
I000091,M1,2024-03-17,preventivo,180
I000092,M5,2024-03-18,preventivo,180
I000093,M4,2024-03-20,preventivo,180
I000094,M4,2024-03-21,preventivo,180
I000095,M6,2024-03-21,preventivo,180
I000096,M3,2024-03-22,preventivo,180
I000097,M3,2024-03-23,preventivo,180
I000098,M6,2024-03-24,preventivo,180
I000099,M2,2024-03-25,preventivo,180
I000100,M3,2024-03-26,preventivo,180
I000101,M4,2024-03-27,preventivo,180
I000102,M5,2024-03-28,preventivo,180
I000103,M3,2024-03-28,preventivo,180
I000104,M5,2024-03-29,preventivo,180
I000105,M3,2024-03-29,preventivo,180
I000106,M4,2024-03-30,preventivo,180
I000107,M1,2024-03-30,preventivo,180
I000108,M5,2024-03-31,preventivo,180
I000109,M1,2024-04-01,preventivo,180
I000110,M3,2024-04-01,preventivo,180
I000111,M4,2024-04-02,preventivo,180
I000112,M1,2024-04-02,preventivo,180
I000113,M1,2024-04-03,preventivo,180
I000114,M1,2024-04-04,preventivo,180
I000115,M5,2024-04-05,preventivo,180
I000116,M2,2024-04-05,preventivo,180
I000117,M3,2024-04-09,preventivo,180
I000118,M3,2024-04-10,preventivo,180
I000119,M4,2024-04-10,preventivo,180
I000120,M1,2024-04-12,preventivo,180
I000121,M2,2024-04-12,preventivo,180
I000122,M2,2024-04-14,preventivo,180
I000123,M5,2024-04-14,preventivo,180
I000124,M6,2024-04-15,preventivo,180
I000125,M1,2024-04-15,preventivo,180
I000126,M4,2024-04-15,preventivo,180
I000127,M5,2024-04-15,preventivo,180
I000128,M1,2024-04-16,preventivo,180
I000129,M3,2024-04-16,preventivo,180
