contacto_id,cliente,fecha_contacto,canal,oferta_pen
K000001,C0009,2023-12-27,telefono,10
K000002,C0013,2023-12-27,telefono,10
K000003,C0017,2023-12-27,telefono,10
K000004,C0018,2023-12-27,telefono,10
K000005,C0030,2023-12-27,telefono,10
K000006,C0035,2023-12-27,telefono,10
K000007,C0037,2023-12-27,telefono,10
K000008,C0038,2023-12-27,telefono,10
K000009,C0040,2023-12-27,telefono,10
K000010,C0043,2023-12-27,telefono,10
K000011,C0048,2023-12-27,telefono,10
K000012,C0051,2023-12-27,telefono,10
K000013,C0058,2023-12-27,telefono,10
K000014,C0062,2023-12-27,telefono,10
K000015,C0067,2023-12-27,telefono,10
K000016,C0069,2023-12-27,telefono,10
K000017,C0070,2023-12-27,telefono,10
K000018,C0076,2023-12-27,telefono,10
K000019,C0090,2023-12-27,telefono,10
K000020,C0093,2023-12-27,telefono,10
K000021,C0096,2023-12-27,telefono,10
K000022,C0104,2023-12-27,telefono,10
K000023,C0119,2023-12-27,telefono,10
K000024,C0120,2023-12-27,telefono,10
K000025,C0008,2024-01-27,telefono,10
K000026,C0016,2024-01-27,telefono,10
K000027,C0024,2024-01-27,telefono,10
K000028,C0030,2024-01-27,telefono,10
K000029,C0031,2024-01-27,telefono,10
K000030,C0032,2024-01-27,telefono,10
K000031,C0036,2024-01-27,telefono,10
K000032,C0039,2024-01-27,telefono,10
K000033,C0043,2024-01-27,telefono,10
K000034,C0050,2024-01-27,telefono,10
K000035,C0054,2024-01-27,telefono,10
K000036,C0055,2024-01-27,telefono,10
K000037,C0056,2024-01-27,telefono,10
K000038,C0060,2024-01-27,telefono,10
K000039,C0061,2024-01-27,telefono,10
K000040,C0068,2024-01-27,telefono,10
K000041,C0074,2024-01-27,telefono,10
K000042,C0078,2024-01-27,telefono,10
K000043,C0079,2024-01-27,telefono,10
K000044,C0086,2024-01-27,telefono,10
K000045,C0092,2024-01-27,telefono,10
K000046,C0094,2024-01-27,telefono,10
K000047,C0097,2024-01-27,telefono,10
K000048,C0098,2024-01-27,telefono,10
K000049,C0099,2024-01-27,telefono,10
K000050,C0109,2024-01-27,telefono,10
K000051,C0110,2024-01-27,telefono,10
K000052,C0111,2024-01-27,telefono,10
K000053,C0001,2024-02-27,telefono,10
K000054,C0006,2024-02-27,telefono,10
K000055,C0012,2024-02-27,telefono,10
K000056,C0016,2024-02-27,telefono,10
K000057,C0019,2024-02-27,telefono,10
K000058,C0027,2024-02-27,telefono,10
K000059,C0031,2024-02-27,telefono,10
K000060,C0035,2024-02-27,telefono,10
K000061,C0036,2024-02-27,telefono,10
K000062,C0042,2024-02-27,telefono,10
K000063,C0057,2024-02-27,telefono,10
K000064,C0058,2024-02-27,telefono,10
K000065,C0068,2024-02-27,telefono,10
K000066,C0076,2024-02-27,telefono,10
K000067,C0084,2024-02-27,telefono,10
K000068,C0085,2024-02-27,telefono,10
K000069,C0086,2024-02-27,telefono,10
K000070,C0104,2024-02-27,telefono,10
K000071,C0105,2024-02-27,telefono,10
K000072,C0108,2024-02-27,telefono,10
K000073,C0109,2024-02-27,telefono,10
K000074,C0112,2024-02-27,telefono,10
K000075,C0118,2024-02-27,telefono,10
K000076,C0119,2024-02-27,telefono,10
K000077,C0010,2024-03-29,telefono,10
K000078,C0011,2024-03-29,telefono,10
K000079,C0012,2024-03-29,telefono,10
K000080,C0014,2024-03-29,telefono,10
K000081,C0020,2024-03-29,telefono,10
K000082,C0026,2024-03-29,telefono,10
K000083,C0028,2024-03-29,telefono,10
K000084,C0036,2024-03-29,telefono,10
K000085,C0038,2024-03-29,telefono,10
K000086,C0039,2024-03-29,telefono,10
K000087,C0047,2024-03-29,telefono,10
K000088,C0060,2024-03-29,telefono,10
K000089,C0067,2024-03-29,telefono,10
K000090,C0070,2024-03-29,telefono,10
K000091,C0074,2024-03-29,telefono,10
K000092,C0087,2024-03-29,telefono,10
K000093,C0089,2024-03-29,telefono,10
K000094,C0099,2024-03-29,telefono,10
K000095,C0107,2024-03-29,telefono,10
K000096,C0110,2024-03-29,telefono,10
K000097,C0112,2024-03-29,telefono,10
K000098,C0115,2024-03-29,telefono,10
K000099,C0013,2024-04-29,telefono,10
K000100,C0019,2024-04-29,telefono,10
K000101,C0023,2024-04-29,telefono,10
K000102,C0024,2024-04-29,telefono,10
K000103,C0026,2024-04-29,telefono,10
K000104,C0028,2024-04-29,telefono,10
K000105,C0031,2024-04-29,telefono,10
K000106,C0039,2024-04-29,telefono,10
K000107,C0042,2024-04-29,telefono,10
K000108,C0052,2024-04-29,telefono,10
K000109,C0059,2024-04-29,telefono,10
K000110,C0061,2024-04-29,telefono,10
K000111,C0068,2024-04-29,telefono,10
K000112,C0071,2024-04-29,telefono,10
K000113,C0083,2024-04-29,telefono,10
K000114,C0084,2024-04-29,telefono,10
K000115,C0092,2024-04-29,telefono,10
K000116,C0095,2024-04-29,telefono,10
K000117,C0114,2024-04-29,telefono,10
K000118,C0115,2024-04-29,telefono,10
K000119,C0119,2024-04-29,telefono,10
K000120,C0001,2024-05-30,telefono,10
K000121,C0013,2024-05-30,telefono,10
K000122,C0014,2024-05-30,telefono,10
K000123,C0027,2024-05-30,telefono,10
K000124,C0033,2024-05-30,telefono,10
K000125,C0038,2024-05-30,telefono,10
K000126,C0049,2024-05-30,telefono,10
K000127,C0059,2024-05-30,telefono,10
K000128,C0060,2024-05-30,telefono,10
K000129,C0064,2024-05-30,telefono,10
K000130,C0075,2024-05-30,telefono,10
K000131,C0081,2024-05-30,telefono,10
K000132,C0083,2024-05-30,telefono,10
K000133,C0092,2024-05-30,telefono,10
K000134,C0093,2024-05-30,telefono,10
K000135,C0096,2024-05-30,telefono,10
K000136,C0097,2024-05-30,telefono,10
K000137,C0100,2024-05-30,telefono,10
K000138,C0103,2024-05-30,telefono,10
K000139,C0105,2024-05-30,telefono,10
K000140,C0106,2024-05-30,telefono,10
K000141,C0108,2024-05-30,telefono,10
K000142,C0110,2024-05-30,telefono,10
K000143,C0116,2024-05-30,telefono,10
K000144,C0003,2024-06-30,telefono,10
K000145,C0005,2024-06-30,telefono,10
K000146,C0008,2024-06-30,telefono,10
K000147,C0012,2024-06-30,telefono,10
K000148,C0016,2024-06-30,telefono,10
K000149,C0020,2024-06-30,telefono,10
K000150,C0039,2024-06-30,telefono,10
K000151,C0043,2024-06-30,telefono,10
K000152,C0044,2024-06-30,telefono,10
K000153,C0053,2024-06-30,telefono,10
K000154,C0069,2024-06-30,telefono,10
K000155,C0074,2024-06-30,telefono,10
K000156,C0076,2024-06-30,telefono,10
K000157,C0077,2024-06-30,telefono,10
K000158,C0079,2024-06-30,telefono,10
K000159,C0083,2024-06-30,telefono,10
K000160,C0086,2024-06-30,telefono,10
K000161,C0088,2024-06-30,telefono,10
K000162,C0089,2024-06-30,telefono,10
K000163,C0096,2024-06-30,telefono,10
K000164,C0111,2024-06-30,telefono,10
K000165,C0113,2024-06-30,telefono,10
K000166,C0117,2024-06-30,telefono,10
K000167,C0001,2024-07-31,telefono,10
K000168,C0002,2024-07-31,telefono,10
K000169,C0005,2024-07-31,telefono,10
K000170,C0008,2024-07-31,telefono,10
K000171,C0010,2024-07-31,telefono,10
K000172,C0015,2024-07-31,telefono,10
K000173,C0023,2024-07-31,telefono,10
K000174,C0027,2024-07-31,telefono,10
K000175,C0029,2024-07-31,telefono,10
K000176,C0033,2024-07-31,telefono,10
K000177,C0036,2024-07-31,telefono,10
K000178,C0042,2024-07-31,telefono,10
K000179,C0043,2024-07-31,telefono,10
K000180,C0046,2024-07-31,telefono,10
K000181,C0052,2024-07-31,telefono,10
K000182,C0059,2024-07-31,telefono,10
K000183,C0064,2024-07-31,telefono,10
K000184,C0071,2024-07-31,telefono,10
K000185,C0073,2024-07-31,telefono,10
K000186,C0077,2024-07-31,telefono,10
K000187,C0083,2024-07-31,telefono,10
K000188,C0098,2024-07-31,telefono,10
K000189,C0100,2024-07-31,telefono,10
K000190,C0112,2024-07-31,telefono,10
K000191,C0119,2024-07-31,telefono,10
K000192,C0120,2024-07-31,telefono,10
K000193,C0001,2024-08-31,telefono,10
K000194,C0004,2024-08-31,telefono,10
K000195,C0007,2024-08-31,telefono,10
K000196,C0010,2024-08-31,telefono,10
K000197,C0014,2024-08-31,telefono,10
K000198,C0015,2024-08-31,telefono,10
K000199,C0018,2024-08-31,telefono,10
K000200,C0021,2024-08-31,telefono,10
K000201,C0022,2024-08-31,telefono,10
K000202,C0024,2024-08-31,telefono,10
K000203,C0031,2024-08-31,telefono,10
K000204,C0037,2024-08-31,telefono,10
K000205,C0045,2024-08-31,telefono,10
K000206,C0046,2024-08-31,telefono,10
K000207,C0052,2024-08-31,telefono,10
